,Município,Região,UF,Reg_Metropolitana,Mun_Reg_Geog_Imediata,Mun_Reg_Geog_Intermediária,Tipo_Conc_Urbana,Hierarquia_Urbana,Hier_Urbana_princ_categ,Região_rural,Amazônia_Legal,Semiárido,Cid_Região_São_Paulo,PIB_per_capita,VAB_Indústria/Total,VAB_Serviço/Total,VAB_Adm/Total,VAB_Agricultura/Total,População,Imposto_Prod_Percapita,Capag_real,Capag_predito
47,Teixeirópolis,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,20370,0.04647569928445312,0.1352569463804479,0.3639067001208066,0.4543374221726605,4384,733.3485401459853,0,0
48,Theobroma,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,18292,0.02804861688712404,0.09552735370663519,0.3793995331490971,0.497019130154812,10494,534.4959024204308,1,1
49,Urupá,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,18617,0.04249702985475032,0.2044418043153336,0.3695483462997739,0.3835032384164335,11665,722.7603943420488,0,0
50,Vale do Anari,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,14505,0.04046067292351615,0.1323304288288754,0.4679266488822287,0.3592693308874348,11028,466.5397170837867,0,0
51,Vale do Paraíso,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,21454,0.02420455955976664,0.1225743721295875,0.3323472216475651,0.5208669507771664,6998,732.4949985710203,0,0
52,Acrelândia,Norte,Acre,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,15737,0.03582499632026619,0.2336073434106003,0.4259303036114915,0.304637356657642,15020,810.7190412782957,,0
53,Assis Brasil,Norte,Acre,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,12532,0.03103849587019649,0.1817791487294216,0.5674722890749466,0.2196874682214162,7300,408.4931506849315,1,1
54,Brasiléia,Norte,Acre,Não,Polo,do Entorno,,Centro de Zona B,Centro de Zona,Região Rural de Capital Regional,Sim,Não,Não,16165,0.08031556928605191,0.3111820268615167,0.429280254461033,0.1792195379275945,25848,1350.626740947075,1,1
55,Bujari,Norte,Acre,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,15606,0.02233757859100435,0.135798807028857,0.4279542157020796,0.4139029501853942,10111,269.1128473939274,,1
56,Capixaba,Norte,Acre,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,14874,0.02441866139618866,0.1521240514359612,0.4524375960764219,0.3710074909108655,11456,564.7695530726256,,1
57,Cruzeiro do Sul,Norte,Acre,Não,Polo,Polo,,Centro Subregional B,Centro Subregional,Região Rural de Centro Sub-regional,Sim,Não,Não,16261,0.07615026848228268,0.440474135631412,0.4341684895007893,0.04920632180841883,87673,1723.586508959429,1,1
58,Epitaciolândia,Norte,Acre,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,25349,0.04508370969941519,0.5517192509579619,0.2929050648312302,0.1102866265031246,18122,4713.387043372696,1,1
59,Feijó,Norte,Acre,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Sim,Não,Não,10500,0.03309485820165731,0.2025666100502685,0.5990958532777463,0.1652369596422301,34675,414.9963950973324,,1
60,Jordão,Norte,Acre,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Sim,Não,Não,9428,0.0199909974316202,0.1195752905976117,0.7446977520057193,0.1157094818227553,8159,170.8542713567839,1,1
61,Mâncio Lima,Norte,Acre,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Sim,Não,Não,10629,0.03427494319355505,0.1609326585416236,0.6279332782482958,0.1768487915719893,18638,239.8862538899023,1,1
62,Manoel Urbano,Norte,Acre,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Sim,Não,Não,13389,0.1095769162683661,0.1978184086521845,0.5277545962622967,0.1648332195331664,9336,683.1619537275064,1,1
63,Marechal Thaumaturgo,Norte,Acre,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Sim,Não,Não,10462,0.02247523132386397,0.121433812080041,0.6759512913493056,0.1801291085387933,18430,183.1795984807379,0,0
64,Plácido de Castro,Norte,Acre,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,12926,0.0559612208672589,0.1846868552083719,0.5019253658195058,0.2574183212457426,19565,515.97239969333,,1
65,Porto Walter,Norte,Acre,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Sim,Não,Não,9569,0.02241357246019123,0.1381469496700123,0.7149216621876086,0.1244995338123183,11720,235.2389078498293,,1
66,Rio Branco,Norte,Acre,Não,Polo,Polo,Média concentração urbana,Capital Regional C,Capital Regional,Região Rural de Capital Regional,Sim,Não,Não,22287,0.1046833113527568,0.5507627342706203,0.3249910672642182,0.01956262611208972,401155,3185.791028405479,0,0
67,Rodrigues Alves,Norte,Acre,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Sim,Não,Não,9973,0.02253010061025895,0.1143658254989279,0.6675078344054098,0.1955907416570455,18504,143.4824902723735,0,0
68,Santa Rosa do Purus,Norte,Acre,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Sim,Não,Não,11233,0.02163330756235146,0.1327921427139707,0.6620565243535779,0.1835037081579475,6362,254.7940899088337,,1
69,Senador Guiomard,Norte,Acre,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,16360,0.06655498108084688,0.2512145807457901,0.4203720285375928,0.2618526327951243,22810,1182.595352915388,,1
70,Sena Madureira,Norte,Acre,Não,Polo,do Entorno,,Centro de Zona B,Centro de Zona,Região Rural de Capital Regional,Sim,Não,Não,11475,0.04246724013184339,0.228213682771927,0.5362328161427767,0.1930842511455905,45177,461.6287048719481,1,1
71,Tarauacá,Norte,Acre,Não,Polo,do Entorno,,Centro de Zona B,Centro de Zona,Região Rural de Centro Sub-regional,Sim,Não,Não,11645,0.0321536418481618,0.2348083243473601,0.5713271044934171,0.161706624653206,41976,576.7819706498952,0,0
72,Xapuri,Norte,Acre,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,12553,0.0177592480686546,0.1984862251707453,0.502514987761987,0.2812308441403176,19048,477.3204535909282,1,1
73,Porto Acre,Norte,Acre,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,12855,0.02676929184218071,0.1573120437553757,0.5034999889729396,0.312409853781179,18180,385.038503850385,1,1
74,Alvarães,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Sim,Não,Não,10707,0.04073635341134803,0.1633402732907364,0.4763263694450427,0.3195910211309738,15860,168.1588902900378,1,1
75,Amaturá,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Sim,Não,Não,7332,0.04040243514828488,0.1750201706559742,0.6269651108774846,0.1575878340382876,11332,113.6604306388987,1,1
76,Anamã,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,8767,0.04179375802969786,0.1639762626836452,0.4855487287950428,0.3086637708772145,13269,144.7735322933152,0,0
77,Anori,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro de zona,Sim,Não,Não,10626,0.03029141104294478,0.1383454286996858,0.3957195496034715,0.4356342585665121,20538,214.0422631220177,1,1
78,Apuí,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,9730,0.05913181294453385,0.2190837801967009,0.4238549683265838,0.2979245769180283,21583,200.0185331047584,0,0
79,Atalaia do Norte,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Sim,Não,Não,7330,0.0273750169886766,0.1495647322226911,0.6693109392771049,0.1537350052575483,19438,137.9257125218644,1,1
80,Autazes,Norte,Amazonas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,9196,0.05092965450110377,0.2056625200618804,0.5023321030644703,0.2410699283276648,38830,306.8503734226114,,1
81,Barcelos,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,6145,0.0486183405475499,0.2039888225302723,0.6780085109491717,0.0693721500800565,27364,143.180821517322,1,1
82,Barreirinha,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,8192,0.03842830073495017,0.1822034234248519,0.6002172344625826,0.1791470772450865,31593,207.6409331180958,1,1
83,Benjamin Constant,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Sim,Não,Não,7346,0.05716181215676945,0.2149398058642792,0.6158598898981742,0.1120351414470047,42020,243.455497382199,1,1
84,Beruri,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro de zona,Sim,Não,Não,7868,0.04416563292163313,0.1937934847095626,0.6386454344425867,0.1233954479262176,19258,166.4762696022432,1,1
85,Boa Vista do Ramos,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,7438,0.04140218322387929,0.1975371008954,0.6422353518270406,0.1188034000307496,18781,165.8591129332837,1,1
86,Boca do Acre,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,12248,0.1386360403925473,0.2619242334965561,0.3714798748399943,0.2279547717252169,33976,659.6126677654815,1,1
87,Borba,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,7487,0.04105669507537142,0.2164770487569493,0.6184058502902038,0.1240502113662004,40565,232.6389744853938,1,1
88,Caapiranga,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,12138,0.03702379869243667,0.1488945500864343,0.4064624303001157,0.4076062232735875,12877,189.2521550050478,1,1
89,Canutama,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro de zona,Sim,Não,Não,6965,0.03710592927820817,0.1927015417657436,0.6350099716192376,0.1351729692413899,15450,214.6278317152104,,1
90,Carauari,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro de Zona B,Centro de Zona,Região Rural de Centro Sub-regional,Sim,Não,Não,10911,0.06650299071331658,0.250873070658365,0.3989465344110556,0.2836740037473179,28076,436.7431258013962,1,1
91,Careiro,Norte,Amazonas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,8414,0.08377863036876212,0.2055107780057963,0.5096379132009504,0.2010693738082728,37384,320.3777016905628,1,1
92,Careiro da Várzea,Norte,Amazonas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,11396,0.02802567246325546,0.08728457643733119,0.3486856502201824,0.5359981054417589,29595,124.2777496198682,1,1
93,Coari,Norte,Amazonas,Não,Polo,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,23921,0.4929784357748788,0.227493316787127,0.207069480140684,0.07245876729731027,84272,914.9064932599202,1,1
94,Codajás,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,17818,0.02935846906886402,0.08393011177348748,0.2300941984045057,0.6566131805041827,28100,201.9928825622776,1,1
95,Eirunepé,Norte,Amazonas,Não,Polo,do Entorno,,Centro de Zona B,Centro de Zona,Região Rural de Centro de zona,Sim,Não,Não,14854,0.03315807976557789,0.1352090767862018,0.304063303395546,0.5275656120683391,34840,240.4133180252583,1,1
96,Envira,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro de zona,Sim,Não,Não,8007,0.03877531309359003,0.1738385757058691,0.5385853642831847,0.2487943079746306,19668,111.3483831604637,1,1
97,Fonte Boa,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,9929,0.05108425719349159,0.2315280541870509,0.5738849156051594,0.1434913024277497,18221,360.0241479611437,1,1
98,Guajará,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Sim,Não,Não,7528,0.03873292298453686,0.1940566147892375,0.6069408997648,0.1602612220387329,16416,224.9634502923977,0,1
99,Humaitá,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro de zona,Sim,Não,Não,11521,0.06947823273316202,0.3300348735086311,0.3606044056694704,0.2398807760853673,54001,704.3758448917613,0,0
100,Ipixuna,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Sim,Não,Não,5263,0.03053745928338762,0.1507649383243445,0.7375313718160944,0.08115955572168526,28933,85.33508450558186,1,1
101,Iranduba,Norte,Amazonas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,14276,0.1337188702556313,0.2451235330546047,0.3459819021533171,0.2751741540319624,47571,630.6573332492485,0,1
102,Itacoatiara,Norte,Amazonas,Sim,Polo,do Entorno,,Centro de Zona A,Centro de Zona,Região Rural de Metrópole,Sim,Não,Não,18818,0.06751008686491101,0.424332439605707,0.246778237863897,0.2613786716808659,99955,1079.535791105998,1,1
103,Itamarati,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro de zona,Sim,Não,Não,12064,0.04382772217167122,0.1918194029204038,0.4757896789288964,0.2885415312621864,7888,361.05476673428,1,1
104,Itapiranga,Norte,Amazonas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,12126,0.04214465716327528,0.2058712904803099,0.4274175348854704,0.3245571143792079,9064,393.7555163283319,1,1
105,Japurá,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,19244,0.04276187378009109,0.1872966818477554,0.5062459336369551,0.2636629798308393,3265,413.7825421133231,1,1
106,Juruá,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Sim,Não,Não,7255,0.04457016696564096,0.1626978651264563,0.5979814307398135,0.1947308245776578,14312,166.7132476243711,,1
107,Jutaí,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Sim,Não,Não,15198,0.04417547785973646,0.1977985338783713,0.3967663111740392,0.3612505423736555,14753,357.3510472446282,1,1
