,Município,PIB_per_capita,População,Capag_real,Capag_predito
213,Limoeiro do Ajuru,14164,28583,1,1
214,Mãe do Rio,9794,29917,,1
215,Magalhães Barata,9591,8523,,0
216,Marabá,31920,275086,0,0
217,Maracanã,7971,29429,,1
218,Marapanim,8311,28220,,1
219,Marituba,14706,129321,1,1
220,Medicilândia,19671,31213,,1
221,Melgaço,6498,27415,1,1
222,Mocajuba,9588,30736,1,1
223,Moju,11653,80988,,0
224,Mojuí dos Campos,9595,15982,0,0
225,Monte Alegre,12455,57900,,1
226,Muaná,6472,39783,,1
227,Nova Esperança do Piriá,9610,21291,,1
228,Nova Ipixuna,8263,16499,1,1
229,Nova Timboteua,7801,15218,,1
230,Novo Progresso,22691,25758,1,1
231,Novo Repartimento,11449,74602,,1
232,Óbidos,12336,51964,,1
233,Oeiras do Pará,12077,32168,,1
234,Oriximiná,22543,72160,,1
235,Ourém,9544,17721,1,1
236,Ourilândia do Norte,18895,32319,1,1
237,Pacajá,12677,46986,,1
238,Palestina do Pará,8619,7596,1,1
239,Paragominas,23685,111764,,1
240,Parauapebas,78841,202882,0,0
241,Pau D'Arco,15833,5557,,1
242,Peixe-Boi,6822,8073,,1
243,Piçarra,18113,12983,1,1
244,Placas,8103,30293,,1
245,Ponta de Pedras,6928,30608,,1
246,Portel,14619,61126,,1
247,Porto de Moz,7660,40458,,1
248,Prainha,9660,29886,,1
249,Primavera,18437,10792,1,1
250,Quatipuru,7215,13512,,1
251,Redenção,21459,83997,0,0
252,Rio Maria,26363,18186,,1
253,Rondon do Pará,10248,51903,,1
254,Rurópolis,7077,49503,,1
255,Salinópolis,11636,40424,,1
256,Salvaterra,7470,23424,,1
257,Santa Bárbara do Pará,8325,20704,,1
258,Santa Cruz do Arari,6938,9939,,1
259,Santa Izabel do Pará,10867,69746,,0
260,Santa Luzia do Pará,8218,19852,,1
261,Santa Maria das Barreiras,18052,21042,0,0
262,Santa Maria do Pará,15526,24725,,1
263,Santana do Araguaia,11850,71187,,0
264,Santarém,16053,302667,0,0
265,Santarém Novo,6776,6664,,1
266,Santo Antônio do Tauá,11825,31038,,1
267,São Caetano de Odivelas,7919,17970,,1
268,São Domingos do Araguaia,11082,25358,,1
269,São Domingos do Capim,8391,31837,,1
270,São Félix do Xingu,11187,124763,,1
271,São Francisco do Pará,14783,15833,,1
272,São Geraldo do Araguaia,19620,24991,1,1
273,São João da Ponta,7368,6059,,1
274,São João de Pirabas,7197,22842,,1
275,São João do Araguaia,8776,13940,,1
276,São Miguel do Guamá,11593,58328,1,1
277,São Sebastião da Boa Vista,7956,26301,,1
278,Sapucaia,17024,5849,1,1
279,Senador José Porfírio,11451,11839,,1
280,Soure,7469,25181,1,1
281,Tailândia,8660,103664,,1
282,Terra Alta,6074,11591,,1
283,Terra Santa,27414,18619,,1
284,Tomé-Açu,10625,62854,,1
285,Tracuateua,7036,30656,,1
286,Trairão,15639,18807,,1
287,Tucumã,19936,39059,0,0
288,Tucuruí,66715,112148,,1
289,Ulianópolis,23080,57632,,1
290,Uruará,11986,45517,,1
291,Vigia,7188,53191,,1
292,Viseu,7971,61049,1,1
293,Vitória do Xingu,291967,14987,,0
294,Xinguara,27618,44410,1,1
295,Serra do Navio,14170,5306,,1
296,Amapá,15202,9029,,1
297,Pedra Branca do Amapari,19527,15931,1,1
298,Calçoene,15028,10926,,1
299,Cutias,12993,5864,,1
300,Ferreira Gomes,70268,7591,1,1
301,Itaubal,12841,5387,1,1
302,Laranjal do Jari,18252,49446,,1
303,Macapá,22181,493634,0,0
304,Mazagão,12172,21206,1,1
305,Oiapoque,16003,26627,1,1
306,Porto Grande,15834,21484,1,1
307,Pracuúba,13476,4993,,1
308,Santana,17307,119610,,1
309,Tartarugalzinho,13365,16855,1,1
310,Vitória do Jari,12137,15605,1,1
311,Abreulândia,20437,2564,1,1
312,Aguiarnópolis,19005,6572,1,1
313,Aliança do Tocantins,19053,5434,0,0
314,Almas,21314,7131,1,1
315,Alvorada,32238,8427,0,0
316,Ananás,13641,9607,1,1
317,Angico,10551,3417,,1
318,Aparecida do Rio Negro,21573,4741,0,0
319,Aragominas,11121,5786,0,0
320,Araguacema,18023,7016,,1
321,Araguaçu,22458,8567,1,1
322,Araguaína,24715,177517,0,0
323,Araguanã,11657,5663,1,1
324,Araguatins,12060,35346,,1
325,Arapoema,43272,6670,1,1
326,Arraias,17500,10601,1,1
327,Augustinópolis,13961,18178,,1
328,Aurora do Tocantins,11275,3731,1,1
329,Axixá do Tocantins,12398,9725,1,1
330,Babaçulândia,9887,10662,,1
331,Bandeirantes do Tocantins,34257,3512,0,0
332,Barra do Ouro,12339,4549,,1
333,Barrolândia,16696,5614,1,1
334,Bernardo Sayão,16725,4469,0,0
335,Bom Jesus do Tocantins,15487,4779,1,1
336,Brasilândia do Tocantins,18738,2191,0,0
337,Brejinho de Nazaré,35362,5475,1,1
338,Buriti do Tocantins,8731,11197,1,1
339,Cachoeirinha,12009,2266,,1
340,Campos Lindos,30905,9917,1,1
341,Cariri do Tocantins,80738,4321,,0
342,Carmolândia,14442,2556,1,1
343,Carrasco Bonito,9813,4059,,1
344,Caseara,29970,5295,1,1
345,Centenário,11934,2874,1,1
346,Chapada de Areia,17069,1401,,1
347,Chapada da Natividade,19250,3334,1,1
348,Colinas do Tocantins,20752,34990,1,1
349,Combinado,13927,4843,1,1
350,Conceição do Tocantins,12617,4124,1,1
351,Couto Magalhães,21018,5536,0,1
352,Cristalândia,15058,7300,,1
353,Crixás do Tocantins,25491,1708,,1
354,Darcinópolis,30928,6018,0,0
355,Dianópolis,15912,21850,0,0
356,Divinópolis do Tocantins,17949,6856,1,1
357,Dois Irmãos do Tocantins,14213,7211,1,1
358,Dueré,24603,4687,0,0
359,Esperantina,8211,10851,,1
360,Fátima,17527,3841,,1
361,Figueirópolis,32230,5284,0,0
362,Filadélfia,11513,8837,1,1
363,Formoso do Araguaia,18913,18482,1,1
364,Fortaleza do Tabocão,72737,2576,,1
365,Goianorte,14731,5116,,1
366,Goiatins,12487,12942,1,1
367,Guaraí,25371,25677,0,0
368,Gurupi,25690,85737,0,0
369,Ipueiras,15353,1977,,1
370,Itacajá,13414,7414,1,1
371,Itaguatins,10889,5896,1,1
372,Itapiratins,18898,3758,0,1
373,Itaporã do Tocantins,17710,2435,1,1
374,Jaú do Tocantins,15700,3819,1,1
375,Juarina,13865,2202,1,1
376,Lagoa da Confusão,37107,13034,1,1
377,Lagoa do Tocantins,9386,4237,0,0
378,Lajeado,21817,3101,1,1
379,Lavandeira,12539,1892,1,1
380,Lizarda,11329,3748,1,1
381,Luzinópolis,11008,3060,1,1
382,Marianópolis do Tocantins,24806,5094,,0
383,Mateiros,51358,2638,1,1
384,Maurilândia do Tocantins,10764,3403,,1
385,Miracema do Tocantins,28347,18566,1,1
386,Miranorte,19648,13375,1,1
387,Monte do Carmo,22764,7827,0,0
388,Monte Santo do Tocantins,15851,2263,0,0
389,Palmeiras do Tocantins,10464,6570,1,1
390,Muricilândia,12237,3514,1,1
391,Natividade,18906,9239,1,1
392,Nazaré,11135,3959,1,1
393,Nova Olinda,22556,11719,0,0
394,Nova Rosalândia,13059,4215,0,1
395,Novo Acordo,12226,4287,,1
396,Novo Alegre,11733,2332,1,1
397,Novo Jardim,10826,2698,0,1
398,Oliveira de Fátima,18374,1106,,1
399,Palmeirante,16197,5919,1,1
400,Palmeirópolis,15543,7641,1,1
401,Paraíso do Tocantins,24316,50602,,0
402,Paranã,20584,10461,1,1
403,Pau D'Arco,14295,4831,1,1
404,Pedro Afonso,39844,13380,0,0
405,Peixe,45449,11623,,1
406,Pequizeiro,13864,5443,1,1
407,Colméia,17497,8270,1,1
408,Pindorama do Tocantins,11891,4464,1,1
409,Piraquê,17048,3023,1,1
410,Pium,20802,7564,1,1
411,Ponte Alta do Bom Jesus,10263,4601,1,1
412,Ponte Alta do Tocantins,10574,7961,0,1
413,Porto Alegre do Tocantins,10003,3108,1,1
414,Porto Nacional,31830,52700,1,1
415,Praia Norte,8623,8365,,1
416,Presidente Kennedy,13356,3692,1,1
417,Pugmil,21246,2659,,1
418,Recursolândia,10154,4244,1,1
419,Riachinho,10217,4604,,1
420,Rio da Conceição,10106,2088,1,1
421,Rio dos Bois,17939,2811,1,1
422,Rio Sono,10160,6468,,1
423,Sampaio,8501,4627,0,0
424,Sandolândia,20944,3378,,0
425,Santa Fé do Araguaia,15305,7426,1,1
426,Santa Maria do Tocantins,15640,3381,,1
427,Santa Rita do Tocantins,38902,2344,0,0
428,Santa Rosa do Tocantins,31072,4811,1,1
429,Santa Tereza do Tocantins,11319,2834,,1
430,Santa Terezinha do Tocantins,11388,2528,1,1
431,São Bento do Tocantins,10112,5256,,1
432,São Félix do Tocantins,13674,1572,,1
433,São Miguel do Tocantins,8836,11967,1,1
434,São Salvador do Tocantins,11937,3070,1,1
435,São Sebastião do Tocantins,9736,4757,,1
436,São Valério,22803,4017,1,1
437,Silvanópolis,28955,5378,0,0
438,Sítio Novo do Tocantins,11252,9078,,1
439,Sucupira,32985,1946,0,0
440,Taguatinga,14648,16538,1,1
441,Taipas do Tocantins,10878,2131,1,1
442,Talismã,29682,2773,1,1
443,Palmas,32293,291855,0,0
444,Tocantínia,9623,7471,1,1
445,Tocantinópolis,12913,22896,0,0
