,Município,PIB_per_capita,População,Capag_real,Capag_predito
2799,Passa Quatro,22847,16294,0,0
2800,Passa Tempo,30063,8112,0,0
2801,Passa Vinte,15885,2048,0,0
2802,Passos,21745,113998,0,0
2803,Patis,7789,5942,1,1
2804,Patos de Minas,31066,150833,0,0
2805,Patrocínio,31937,90041,0,0
2806,Patrocínio do Muriaé,16031,5652,1,1
2807,Paula Cândido,10120,9557,1,1
2808,Paulistas,9858,4849,,1
2809,Pavão,8360,8481,,0
2810,Peçanha,11123,17545,0,0
2811,Pedra Azul,12284,24319,0,0
2812,Pedra Bonita,9390,7065,0,0
2813,Pedra do Anta,12199,3100,1,1
2814,Pedra do Indaiá,23192,3969,0,0
2815,Pedra Dourada,12302,2475,0,0
2816,Pedralva,11640,11246,0,0
2817,Pedras de Maria da Cruz,7227,11453,,0
2818,Pedrinópolis,31865,3626,0,0
2819,Pedro Leopoldo,22303,63789,0,0
2820,Pedro Teixeira,12307,1808,0,0
2821,Pequeri,12999,3310,,1
2822,Pequi,13657,4379,0,0
2823,Perdigão,17654,11249,1,1
2824,Perdizes,57084,16009,0,0
2825,Perdões,22987,21291,0,0
2826,Periquito,12948,6847,,0
2827,Pescador,9177,4246,,0
2828,Piau,28229,2763,1,1
2829,Piedade de Caratinga,10611,8426,0,0
2830,Piedade de Ponte Nova,11985,4140,0,0
2831,Piedade do Rio Grande,14444,4528,0,0
2832,Piedade dos Gerais,13024,4955,1,0
2833,Pimenta,21948,8631,0,0
2834,Pingo d'Água,8293,4894,0,0
2835,Pintópolis,8037,7490,0,0
2836,Piracema,22898,6421,0,0
2837,Pirajuba,50576,6044,0,0
2838,Piranga,9175,17618,0,0
2839,Piranguçu,11935,5455,1,1
2840,Piranguinho,12794,8550,0,0
2841,Pirapetinga,41809,10731,1,0
2842,Pirapora,40566,56208,,0
2843,Piraúba,14678,10816,0,0
2844,Pitangui,18990,27755,0,0
2845,Piumhi,25148,34456,0,0
2846,Planura,38010,11968,0,0
2847,Poço Fundo,18396,16734,1,1
2848,Poços de Caldas,46028,166111,0,0
2849,Pocrane,10590,8508,,0
2850,Pompéu,24764,31583,0,0
2851,Ponte Nova,27739,59605,0,0
2852,Ponto Chique,9089,4237,0,1
2853,Ponto dos Volantes,7057,12061,1,1
2854,Porteirinha,8842,37950,0,0
2855,Porto Firme,8101,11208,0,1
2856,Poté,8565,16491,1,1
2857,Pouso Alegre,51182,148862,0,0
2858,Pouso Alto,37529,5981,0,0
2859,Prados,18453,8979,,1
2860,Prata,35235,27688,0,0
2861,Pratápolis,17920,8642,1,1
2862,Pratinha,25958,3573,0,0
2863,Presidente Bernardes,8730,5398,,0
2864,Presidente Juscelino,12331,3676,1,1
2865,Presidente Kubitschek,9352,3004,0,1
2866,Presidente Olegário,22596,19377,0,0
2867,Alto Jequitibá,11545,8333,0,0
2868,Prudente de Morais,13915,10629,0,0
2869,Quartel Geral,15349,3542,,0
2870,Queluzito,14926,1934,0,0
2871,Raposos,11291,16277,0,0
2872,Raul Soares,13138,23814,,0
2873,Recreio,9663,10514,0,0
2874,Reduto,12694,7105,,0
2875,Resende Costa,15789,11459,0,0
2876,Resplendor,12808,17398,0,0
2877,Ressaquinha,42148,4798,0,0
2878,Riachinho,12261,8138,1,1
2879,Riacho dos Machados,29972,9487,,0
2880,Ribeirão das Neves,12392,331045,0,0
2881,Ribeirão Vermelho,21423,4019,1,1
2882,Rio Acima,18719,10203,1,1
2883,Rio Casca,14225,13659,0,0
2884,Rio Doce,16545,2599,0,0
2885,Rio do Prado,7970,5167,,1
2886,Rio Espera,8684,5549,0,0
2887,Rio Manso,14769,5783,1,0
2888,Rio Novo,11938,8941,1,1
2889,Rio Paranaíba,41984,12291,0,0
2890,Rio Pardo de Minas,8931,30779,1,1
2891,Rio Piracicaba,39144,14346,0,0
2892,Rio Pomba,19070,17858,0,0
2893,Rio Preto,9625,5467,1,1
2894,Rio Vermelho,8649,12957,0,0
2895,Ritápolis,13815,4648,,0
2896,Rochedo de Minas,11483,2289,,0
2897,Rodeiro,49500,7991,0,0
2898,Romaria,39476,3547,,0
2899,Rosário da Limeira,10320,4566,,1
2900,Rubelita,9025,6198,1,1
2901,Rubim,8319,10226,0,0
2902,Sabará,21561,135421,0,0
2903,Sabinópolis,11632,15525,0,0
2904,Sacramento,51491,25989,0,0
2905,Salinas,13184,41349,0,0
2906,Salto da Divisa,14698,7007,1,1
2907,Santa Bárbara,26833,30807,0,0
2908,Santa Bárbara do Leste,11013,8113,,0
2909,Santa Bárbara do Monte Verde,15979,3117,,1
2910,Santa Bárbara do Tugúrio,12978,4454,,0
2911,Santa Cruz de Minas,10772,8541,0,0
2912,Santa Cruz de Salinas,8862,4177,,1
2913,Santa Cruz do Escalvado,10909,4793,,1
2914,Santa Efigênia de Minas,10031,4438,,0
2915,Santa Fé de Minas,9998,3866,1,1
2916,Santa Helena de Minas,7352,6345,,1
2917,Santa Juliana,55902,13743,0,0
2918,Santa Luzia,18272,218147,1,1
2919,Santa Margarida,16369,16111,,0
2920,Santa Maria de Itabira,15053,10836,,1
2921,Santa Maria do Salto,7802,5248,1,1
2922,Santa Maria do Suaçuí,9499,14620,,0
2923,Santana da Vargem,19230,7128,0,0
2924,Santana de Cataguases,10469,3853,0,0
2925,Santana de Pirapama,10945,7696,,1
2926,Santana do Deserto,9918,3971,0,0
2927,Santana do Garambéu,12635,2438,,0
2928,Santana do Jacaré,16362,4807,,0
2929,Santana do Manhuaçu,12888,8681,,0
2930,Santana do Paraíso,19077,33934,0,0
2931,Santana do Riacho,14824,4274,0,0
2932,Santana dos Montes,8945,3789,1,1
2933,Santa Rita de Caldas,17534,8974,0,0
2934,Santa Rita de Jacutinga,11465,4905,0,0
2935,Santa Rita de Minas,11158,7155,1,0
2936,Santa Rita de Ibitipoca,15173,3449,0,0
2937,Santa Rita do Itueto,16939,5522,,1
2938,Santa Rita do Sapucaí,34369,42751,0,0
2939,Santa Rosa da Serra,17017,3343,1,1
2940,Santa Vitória,68299,19608,1,1
2941,Santo Antônio do Amparo,15431,18434,1,1
2942,Santo Antônio do Aventureiro,12607,3602,,1
2943,Santo Antônio do Grama,15282,3937,0,0
2944,Santo Antônio do Itambé,9201,3877,0,0
2945,Santo Antônio do Jacinto,7582,11677,0,0
2946,Santo Antônio do Monte,20489,28054,0,0
2947,Santo Antônio do Retiro,6863,7256,1,1
2948,Santo Antônio do Rio Abaixo,12927,1770,,0
2949,Santo Hipólito,11503,3109,1,1
2950,Santos Dumont,20163,46555,0,0
2951,São Bento Abade,11662,5220,0,0
2952,São Brás do Suaçuí,14594,3721,,0
2953,São Domingos das Dores,12888,5630,0,0
2954,São Domingos do Prata,14477,17393,1,1
2955,São Félix de Minas,11056,3377,,0
2956,São Francisco,8995,56163,0,0
2957,São Francisco de Paula,15103,6535,0,0
2958,São Francisco de Sales,21469,6200,,0
2959,São Francisco do Glória,11158,4889,1,1
2960,São Geraldo,16451,12164,0,0
2961,São Geraldo da Piedade,9044,4015,,0
2962,São Geraldo do Baixio,9860,3963,,1
2963,São Gonçalo do Abaeté,32932,6923,1,1
2964,São Gonçalo do Pará,19992,12218,1,1
2965,São Gonçalo do Rio Abaixo,337288,10818,,0
2966,São Gonçalo do Sapucaí,24300,25332,0,0
2967,São Gotardo,23553,35145,0,0
2968,São João Batista do Glória,19889,7407,0,0
2969,São João da Lagoa,8460,4896,1,1
2970,São João da Mata,15662,2753,1,1
2971,São João da Ponte,7861,25235,1,1
2972,São João das Missões,6314,12899,1,1
2973,São João del Rei,23958,89653,0,0
2974,São João do Manhuaçu,10132,11440,0,0
2975,São João do Manteninha,10116,5798,0,0
2976,São João do Oriente,11237,7553,,0
2977,São João do Pacuí,7675,4389,0,0
2978,São João do Paraíso,9179,23524,1,1
2979,São João Evangelista,10810,15781,1,0
2980,São João Nepomuceno,15048,26272,1,0
2981,São Joaquim de Bicas,20150,30989,0,0
2982,São José da Barra,75480,7371,0,0
2983,São José da Lapa,20297,23385,0,0
2984,São José da Safira,9057,4255,,0
2985,São José da Varginha,16672,4927,1,1
2986,São José do Alegre,11995,4183,0,0
2987,São José do Divino,9708,3865,,0
2988,São José do Goiabal,9865,5454,1,0
2989,São José do Jacuri,9706,6477,,1
2990,São José do Mantimento,11540,2775,1,1
2991,São Lourenço,22953,45488,0,0
2992,São Miguel do Anta,11099,6933,1,1
2993,São Pedro da União,19328,4709,0,0
2994,São Pedro dos Ferros,14377,7858,1,1
2995,São Pedro do Suaçuí,11336,5291,0,0
2996,São Romão,13260,12139,1,1
2997,São Roque de Minas,29238,7026,0,0
2998,São Sebastião da Bela Vista,68401,5455,1,1
2999,São Sebastião da Vargem Alegre,16791,2991,1,1
3000,São Sebastião do Anta,10022,6479,,1
3001,São Sebastião do Maranhão,7579,10129,1,1
3002,São Sebastião do Oeste,60425,6684,0,0
3003,São Sebastião do Paraíso,25070,70450,1,0
3004,São Sebastião do Rio Preto,12910,1520,0,0
3005,São Sebastião do Rio Verde,12688,2231,0,0
3006,São Tiago,15526,10922,0,0
3007,São Tomás de Aquino,17989,7042,,1
3008,São Thomé das Letras,12957,7056,0,0
3009,São Vicente de Minas,20991,7687,0,0
3010,Sapucaí-Mirim,14784,6869,,0
3011,Sardoá,9815,6236,0,0
3012,Sarzedo,28322,32069,1,1
3013,Setubinha,7445,12134,1,1
3014,Sem-Peixe,11308,2661,0,0
3015,Senador Amaral,11305,5352,0,0
3016,Senador Cortes,13692,2007,0,0
3017,Senador Firmino,10326,7764,,1
3018,Senador José Bento,14668,1545,1,1
3019,Senador Modestino Gonçalves,23365,4209,1,1
3020,Senhora de Oliveira,11997,5786,0,0
3021,Senhora do Porto,10287,3527,0,0
3022,Senhora dos Remédios,7872,10451,0,0
3023,Sericita,10186,7319,0,0
3024,Seritinga,19158,1848,0,0
3025,Serra Azul de Minas,7809,4293,0,0
3026,Serra da Saudade,23904,786,,1
3027,Serra dos Aimorés,10141,8685,,1
3028,Serra do Salitre,41452,11493,0,0
3029,Serrania,17414,7670,1,0
3030,Serranópolis de Minas,7422,4752,,1
3031,Serranos,14602,1970,0,0
3032,Serro,11074,20993,0,0
3033,Sete Lagoas,35933,237286,,0
3034,Silveirânia,12052,2258,0,0
3035,Silvianópolis,15179,6227,1,1
3036,Simão Pereira,27457,2612,0,0
3037,Simonésia,9536,19528,,1
3038,Sobrália,9445,5594,0,1
3039,Soledade de Minas,9535,6112,,0
3040,Tabuleiro,13311,3792,0,0
3041,Taiobeiras,13049,33858,,0
3042,Taparuba,11122,3119,1,1
3043,Tapira,131997,4711,1,1
3044,Tapiraí,20980,1879,1,1
3045,Taquaraçu de Minas,11654,4055,0,0
3046,Tarumirim,10076,14350,1,1
3047,Teixeiras,12179,11650,1,0
3048,Teófilo Otoni,17942,140235,1,1
3049,Timóteo,36154,89090,1,1
3050,Tiradentes,20633,7886,0,0
3051,Tiros,30236,6539,0,0
3052,Tocantins,16569,16602,1,0
3053,Tocos do Moji,12549,4093,0,0
3054,Toledo,12033,6217,0,0
3055,Tombos,11970,8201,0,0
3056,Três Corações,29300,78913,1,1
3057,Três Marias,84505,31984,1,1
3058,Três Pontas,23810,56546,0,0
3059,Tumiritinga,8351,6698,,1
3060,Tupaciguara,25776,25253,1,0
3061,Turmalina,18784,19797,1,0
3062,Turvolândia,20030,5008,,0
3063,Ubá,23884,114265,,0
3064,Ubaí,7889,12466,0,0
3065,Ubaporanga,9860,12449,,1
3066,Uberaba,44522,330361,0,0
3067,Uberlândia,54801,683247,0,0
3068,Umburatiba,11392,2626,,0
3069,Unaí,38850,83808,0,0
3070,União de Minas,25683,4325,1,1
3071,Uruana de Minas,15257,3267,1,1
3072,Urucânia,16470,10371,1,1
3073,Urucuia,7926,16547,1,1
3074,Vargem Alegre,9936,6491,,0
3075,Vargem Bonita,20173,2158,0,0
3076,Vargem Grande do Rio Pardo,9385,4987,,1
3077,Varginha,40994,134477,0,0
3078,Varjão de Minas,21166,7071,0,0
3079,Várzea da Palma,18288,39173,,0
3080,Varzelândia,8142,19335,1,1
3081,Vazante,34956,20537,0,0
3082,Verdelândia,8984,9265,1,1
3083,Veredinha,17406,5712,1,1
3084,Veríssimo,28604,3951,1,1
3085,Vermelho Novo,9553,4832,0,0
3086,Vespasiano,19415,125376,1,1
3087,Viçosa,20832,78286,0,0
3088,Vieiras,10482,3629,0,0
3089,Mathias Lobato,10142,3227,,0
3090,Virgem da Lapa,8435,13764,1,1
3091,Virgínia,13312,8685,1,1
3092,Virginópolis,14031,10537,,1
3093,Virgolândia,8764,5420,0,0
3094,Visconde do Rio Branco,26638,42149,0,0
3095,Volta Grande,16005,5243,0,0
3096,Wenceslau Braz,10446,2558,0,0
3097,Afonso Cláudio,15115,30720,0,0
3098,Águia Branca,18595,9653,0,0
3099,Água Doce do Norte,12516,11131,,0
3100,Alegre,16201,30568,1,0
3101,Alfredo Chaves,22464,14566,0,0
3102,Alto Rio Novo,11172,7798,1,1
3103,Anchieta,32801,28736,0,0
3104,Apiacá,13264,7580,1,0
3105,Aracruz,53275,99305,0,0
3106,Atílio Vivacqua,23595,11765,1,0
3107,Baixo Guandu,23458,30862,0,0
3108,Barra de São Francisco,19565,44315,0,0
3109,Boa Esperança,14821,14982,0,0
3110,Bom Jesus do Norte,15306,9910,0,0
3111,Brejetuba,19755,12381,0,0
3112,Cachoeiro de Itapemirim,23955,207324,0,0
3113,Cariacica,25849,378603,0,0
3114,Castelo,25359,37317,0,0
3115,Colatina,28661,121580,0,0
3116,Conceição da Barra,15291,30849,,0
3117,Conceição do Castelo,17291,12638,1,0
3118,Divino de São Lourenço,14135,4338,1,1
3119,Domingos Martins,21809,33711,0,0
3120,Dores do Rio Preto,21173,6727,0,0
3121,Ecoporanga,13488,23014,1,1
3122,Fundão,22597,21061,0,0
3123,Governador Lindenberg,16570,12535,0,0
3124,Guaçuí,17266,30607,,0
3125,Guarapari,18759,122982,0,0
3126,Ibatiba,13471,25732,0,0
3127,Ibiraçu,21114,12365,0,0
3128,Ibitirama,13916,8919,0,0
3129,Iconha,24144,13745,0,0
3130,Irupi,16516,13226,1,0
3131,Itaguaçu,18351,14109,0,0
3132,Itapemirim,167621,34032,0,0
3133,Itarana,20500,10619,0,0
3134,Iúna,14802,29030,0,0
3135,Jaguaré,20307,29904,0,0
3136,Jerônimo Monteiro,12602,11744,0,0
3137,João Neiva,29701,16614,0,0
3138,Laranja da Terra,12066,10961,0,0
3139,Linhares,35738,170364,0,0
3140,Mantenópolis,10723,15194,,0
3141,Marataízes,66685,38108,0,0
3142,Marechal Floriano,26330,16464,1,0
3143,Marilândia,20678,12700,0,0
3144,Mimoso do Sul,17691,26191,,0
3145,Montanha,18305,18770,0,0
3146,Mucurici,12570,5552,0,0
3147,Muniz Freire,17532,17613,0,0
3148,Muqui,12174,15370,0,0
3149,Nova Venécia,20207,49780,0,0
3150,Pancas,12013,23059,1,1
3151,Pedro Canário,11672,25982,0,0
3152,Pinheiros,18152,26763,0,0
3153,Piúma,30016,21363,1,1
3154,Ponto Belo,10550,7784,0,0
3155,Presidente Kennedy,583171,11488,0,0
3156,Rio Bananal,20163,19009,,0
3157,Rio Novo do Sul,16926,11618,1,0
3158,Santa Leopoldina,16663,12300,0,0
3159,Santa Maria de Jetibá,34213,39849,0,0
3160,Santa Teresa,20612,23392,0,0
3161,São Domingos do Norte,29410,8589,0,0
3162,São Gabriel da Palha,16148,37361,0,0
3163,São José do Calçado,15150,10566,0,0
3164,São Mateus,18764,128542,1,0
3165,São Roque do Canaã,16068,12318,0,0
3166,Serra,45544,507598,0,0
3167,Sooretama,17473,29449,0,0
3168,Vargem Alta,16157,21207,0,0
3169,Venda Nova do Imigrante,24715,24800,0,0
3170,Viana,32060,76954,0,0
3171,Vila Pavão,15302,9171,0,0
3172,Vila Valério,19623,14087,0,0
3173,Vila Velha,24936,486208,0,0
3174,Vitória,73632,358267,0,0
3175,Angra dos Reis,44590,200407,1,1
3176,Aperibé,15625,11612,,1
3177,Araruama,20480,130439,,1
3178,Areal,25200,12471,1,1
3179,Armação dos Búzios,76723,33240,0,0
3180,Arraial do Cabo,42927,30096,1,1
3181,Barra do Piraí,20602,99969,,1
3182,Barra Mansa,28067,183976,,0
3183,Belford Roxo,15598,508614,1,1
3184,Bom Jardim,24638,27269,0,0
3185,Bom Jesus do Itabapoana,20586,36985,1,1
3186,Cabo Frio,49297,222528,1,1
3187,Cachoeiras de Macacu,17638,58560,,1
3188,Cambuci,21730,15496,,1
3189,Carapebus,32536,16039,1,1
3190,Comendador Levy Gasparian,45550,8544,0,0
3191,Campos dos Goytacazes,64186,503424,1,1
3192,Cantagalo,36562,20177,0,0
3193,Cardoso Moreira,21776,12826,1,1
3194,Carmo,24286,18755,,1
3195,Casimiro de Abreu,50532,43295,0,0
3196,Conceição de Macabu,15397,23064,,1
3197,Cordeiro,23270,21806,0,0
3198,Duas Barras,18294,11454,0,0
3199,Duque de Caxias,45490,914383,1,1
3200,Engenheiro Paulo de Frontin,18695,13929,1,1
3201,Guapimirim,16377,59613,1,1
3202,Iguaba Grande,17622,27762,,1
3203,Itaboraí,18746,238695,1,1
3204,Itaguaí,63968,125913,1,1
3205,Italva,20276,15113,1,1
3206,Itaocara,23342,23247,,1
3207,Itaperuna,27161,102626,0,0
3208,Itatiaia,156381,31537,0,0
3209,Japeri,13825,103960,,1
3210,Laje do Muriaé,18429,7386,,1
3211,Macaé,61223,251631,0,0
3212,Macuco,27532,5574,0,0
3213,Magé,15926,243657,1,1
3214,Mangaratiba,82215,43689,,0
3215,Maricá,171003,157789,0,0
3216,Mendes,17324,18578,,1
3217,Mesquita,12879,175620,1,1
3218,Miguel Pereira,23125,25493,0,0
3219,Miracema,19458,27195,1,1
3220,Natividade,18319,15324,1,1
3221,Nilópolis,17270,162269,1,1
3222,Niterói,78854,511786,0,0
3223,Nova Friburgo,27435,190084,0,0
3224,Nova Iguaçu,20538,818875,1,1
3225,Paracambi,18799,51815,1,1
3226,Paraíba do Sul,22562,44045,1,1
3227,Paraty,61447,42630,0,0
3228,Paty do Alferes,19606,27678,0,0
3229,Petrópolis,41456,305687,1,1
3230,Pinheiral,21732,24941,0,0
3231,Piraí,63885,28999,0,0
3232,Porciúncula,18689,18730,0,0
3233,Porto Real,147371,19381,1,1
3234,Quatis,18706,14165,,1
3235,Queimados,24050,149265,,0
3236,Quissamã,101931,24246,1,1
3237,Resende,64649,130334,0,0
3238,Rio Bonito,27755,59814,1,1
3239,Rio Claro,21763,18451,1,1
3240,Rio das Flores,22263,9222,1,1
3241,Rio das Ostras,58789,145989,1,1
3242,Rio de Janeiro,54426,6688927,1,1
3243,Santa Maria Madalena,17415,10417,1,1
3244,Santo Antônio de Pádua,25660,42359,1,1
3245,São Francisco de Itabapoana,24249,42201,,1
3246,São Fidélis,17997,38626,1,1
3247,São Gonçalo,17167,1077687,0,0
3248,São João da Barra,199339,36138,1,1
3249,São João de Meriti,19726,471888,1,1
3250,São José de Ubá,28715,7134,1,1
3251,São José do Vale do Rio Preto,24555,21670,,1
3252,São Pedro da Aldeia,22259,102846,1,1
3253,São Sebastião do Alto,21801,9326,1,1
3254,Sapucaia,40457,18205,1,1
3255,Saquarema,35244,87704,1,1
3256,Seropédica,51442,86743,,1
3257,Silva Jardim,21389,21773,,1
3258,Sumidouro,28758,15577,,1
3259,Tanguá,16249,33870,,1
3260,Teresópolis,28503,180886,1,1
3261,Trajano de Moraes,18452,10611,0,1
3262,Três Rios,48575,81453,1,1
3263,Valença,33675,76163,1,1
3264,Varre-Sai,17174,10890,1,1
3265,Vassouras,26624,36702,0,0
3266,Volta Redonda,50606,271998,1,1
3267,Adamantina,30962,35023,0,0
3268,Adolfo,25867,3571,1,1
3269,Aguaí,28041,35954,1,1
3270,Águas da Prata,20683,8137,1,1
3271,Águas de Lindóia,26427,18599,1,1
3272,Águas de Santa Bárbara,27620,6040,0,0
3273,Águas de São Pedro,40220,3380,1,1
3274,Agudos,59513,37023,1,1
3275,Alambari,16981,5918,0,0
3276,Alfredo Marcondes,20104,4147,0,0
3277,Altair,25842,4134,,1
3278,Altinópolis,30792,16164,0,0
3279,Alto Alegre,26207,4110,,1
3280,Alumínio,113887,18484,0,0
3281,Álvares Florence,32245,3712,1,1
3282,Álvares Machado,21374,24830,,0
3283,Álvaro de Carvalho,9632,5179,1,0
3284,Alvinlândia,16190,3206,0,0
3285,Americana,47793,237112,0,0
3286,Américo Brasiliense,24008,39962,0,0
3287,Américo de Campos,19767,5956,1,1
3288,Amparo,64804,71700,0,0
3289,Analândia,37298,4933,1,1
3290,Andradina,33661,57112,1,1
3291,Angatuba,40386,24969,,0
3292,Anhembi,27144,6627,0,0
3293,Anhumas,18317,4085,,0
3294,Aparecida,29969,36129,,1
3295,Aparecida d'Oeste,30365,4234,1,0
3296,Apiaí,24247,24526,1,1
3297,Araçariguama,149668,21854,1,1
3298,Araçatuba,37521,195874,0,0
3299,Araçoiaba da Serra,25731,33499,,1
3300,Aramina,22669,5585,0,0
3301,Arandu,18522,6348,1,1
3302,Arapeí,12390,2478,0,0
3303,Araraquara,40253,233744,1,0
3304,Araras,41863,132934,,0
3305,Arco-Íris,29273,1811,1,1
3306,Arealva,27135,8505,1,1
3307,Areias,11126,3876,1,1
3308,Areiópolis,12884,11099,1,1
3309,Ariranha,76108,9573,0,0
3310,Artur Nogueira,22156,53450,1,1
3311,Arujá,69588,88455,1,1
3312,Aspásia,19290,1825,1,1
3313,Assis,32443,103666,1,1
3314,Atibaia,50498,141398,0,0
3315,Auriflama,20155,15123,0,0
3316,Avaí,50644,5369,1,1
3317,Avanhandava,23782,13433,0,0
3318,Avaré,30391,90063,1,1
3319,Bady Bassitt,20504,17236,0,0
3320,Balbinos,10405,5532,1,1
3321,Bálsamo,22575,8994,1,1
3322,Bananal,16937,10896,,0
3323,Barão de Antonina,15482,3441,1,1
3324,Barbosa,12939,7335,1,1
3325,Bariri,33185,34961,1,1
3326,Barra Bonita,35500,36127,1,1
3327,Barra do Chapéu,14278,5688,1,1
3328,Barra do Turvo,11840,7687,1,1
3329,Barretos,40046,121344,1,1
3330,Barrinha,15960,32434,1,1
3331,Barueri,186382,271306,0,0
3332,Bastos,45791,20954,0,0
3333,Batatais,25636,62024,1,1
3334,Bauru,39121,374272,0,0
3335,Bebedouro,43191,77436,1,1
3336,Bento de Abreu,56699,2955,0,0
3337,Bernardino de Campos,19777,11137,,1
3338,Bertioga,27384,61736,0,0
3339,Bilac,24284,7949,1,1
3340,Birigui,27268,122359,1,1
3341,Biritiba Mirim,21320,32251,1,1
3342,Boa Esperança do Sul,20877,14824,0,0
3343,Bocaina,17819,12204,0,0
3344,Bofete,16223,11534,0,0
3345,Boituva,39829,59793,1,1
3346,Bom Jesus dos Perdões,36485,24898,0,0
3347,Bom Sucesso de Itararé,15972,3923,1,1
3348,Borá,84796,836,,0
3349,Boracéia,80228,4776,,0
3350,Borborema,23374,15925,0,0
3351,Borebi,24905,2621,1,1
3352,Botucatu,31925,144820,1,0
3353,Bragança Paulista,37813,166753,0,0
3354,Braúna,17435,5630,0,0
3355,Brejo Alegre,29271,2841,,0
3356,Brodowski,27203,24592,1,1
3357,Brotas,27225,24163,0,0
3358,Buri,20905,19789,0,0
3359,Buritama,37385,17003,0,0
3360,Buritizal,40019,4447,1,1
3361,Cabrália Paulista,19260,4286,1,1
3362,Cabreúva,95518,48966,0,0
3363,Caçapava,46192,93488,1,1
3364,Cachoeira Paulista,18401,33067,,1
3365,Caconde,18846,18961,1,1
3366,Cafelândia,28550,17689,1,1
3367,Caiabu,13893,4190,,0
3368,Caieiras,35517,100129,1,1
3369,Caiuá,13036,5800,1,1
3370,Cajamar,224359,75638,0,0
3371,Cajati,50776,28605,0,0
3372,Cajobi,14873,10486,1,1
3373,Cajuru,22061,25935,0,0
3374,Campina do Monte Alegre,18135,5991,1,1
3375,Campinas,51417,1194094,1,1
3376,Campo Limpo Paulista,25211,83735,1,1
3377,Campos do Jordão,24107,51763,0,0
3378,Campos Novos Paulista,28746,4932,0,0
3379,Cananéia,23977,12539,,1
3380,Canas,20623,5071,,1
3381,Cândido Mota,37372,31212,0,0
3382,Cândido Rodrigues,35917,2787,1,1
3383,Canitar,36713,5139,,1
3384,Capão Bonito,19221,47159,0,0
3385,Capela do Alto,13344,20419,0,0
3386,Capivari,37353,55141,1,1
3387,Caraguatatuba,27802,119625,0,0
3388,Carapicuíba,14413,398611,1,1
3389,Cardoso,20770,12303,1,1
3390,Casa Branca,27488,30237,1,1
3391,Cássia dos Coqueiros,58581,2542,0,0
3392,Castilho,41708,20738,0,0
3393,Catanduva,34611,121210,0,0
3394,Catiguá,15079,7752,1,1
3395,Cedral,34238,9125,1,1
3396,Cerqueira César,30605,19774,1,1
3397,Cerquilho,38133,48074,0,0
3398,Cesário Lange,24128,17915,1,1
3399,Charqueada,20806,17009,0,1
3400,Clementina,25945,8472,,1
3401,Colina,60218,18398,1,1
3402,Colômbia,53207,6203,1,1
3403,Conchal,24884,27820,1,1
3404,Conchas,19830,17770,0,0
3405,Cordeirópolis,116519,24221,1,1
3406,Coroados,27648,5986,,0
3407,Coronel Macedo,16258,4728,0,1
3408,Corumbataí,61418,4047,1,1
3409,Cosmópolis,22410,70998,1,1
3410,Cosmorama,45912,7316,0,0
3411,Cotia,51225,244694,0,0
3412,Cravinhos,34165,34998,0,0
3413,Cristais Paulista,22617,8541,1,1
3414,Cruzália,49778,2100,0,0
3415,Cruzeiro,29743,81895,,0
3416,Cubatão,101597,129760,0,0
3417,Cunha,11971,21639,,1
3418,Descalvado,47327,33520,0,0
3419,Diadema,34855,420934,1,1
3420,Dirce Reis,32133,1786,0,0
3421,Divinolândia,24940,11208,1,1
3422,Dobrada,13045,8846,0,1
3423,Dois Córregos,23896,27112,0,0
3424,Dolcinópolis,21845,2119,1,1
3425,Dourado,70723,8868,1,1
3426,Dracena,25779,46536,1,1
3427,Duartina,19047,12457,1,1
3428,Dumont,23587,9708,0,0
3429,Echaporã,20426,6141,0,0
3430,Eldorado,20795,15443,0,0
3431,Elias Fausto,40144,17604,0,0
3432,Elisiário,17685,3604,1,1
3433,Embaúba,21238,2456,1,1
3434,Embu das Artes,48914,270843,1,0
3435,Embu-Guaçu,16293,68856,1,1
3436,Emilianópolis,19284,3202,0,0
3437,Engenheiro Coelho,32701,20284,1,1
3438,Espírito Santo do Pinhal,32436,44186,1,1
3439,Espírito Santo do Turvo,16466,4779,0,0
3440,Estrela d'Oeste,74377,8418,0,0
3441,Estrela do Norte,18316,2762,1,1
3442,Euclides da Cunha Paulista,16893,9419,1,1
3443,Fartura,23162,16001,0,0
3444,Fernandópolis,29148,68823,0,0
3445,Fernando Prestes,33167,5771,1,1
3446,Fernão,29359,1704,0,1
3447,Ferraz de Vasconcelos,16344,191993,0,0
3448,Flora Rica,25329,1499,1,1
3449,Floreal,21806,2934,1,1
3450,Flórida Paulista,14264,14486,1,1
3451,Florínea,50422,2699,1,1
3452,Franca,28518,350400,0,0
3453,Francisco Morato,8719,174008,0,0
3454,Franco da Rocha,19650,152433,0,0
3455,Gabriel Monteiro,26699,2776,1,1
3456,Gália,21643,6615,1,1
3457,Garça,26874,44370,0,1
3458,Gastão Vidigal,16095,4754,1,1
3459,Gavião Peixoto,186287,4762,0,0
3460,General Salgado,22848,10876,1,1
3461,Getulina,16284,11370,1,1
3462,Glicério,21142,4801,0,0
3463,Guaiçara,16298,12039,1,1
3464,Guaimbê,13163,5743,1,1
3465,Guaíra,80169,40533,0,0
3466,Guapiaçu,26008,21125,1,1
3467,Guapiara,18874,17293,1,1
3468,Guará,20804,21129,1,1
3469,Guaraçaí,32770,8357,0,0
3470,Guaraci,29683,11088,0,0
