,Município,Região,UF,Reg_Metropolitana,Mun_Reg_Geog_Imediata,Mun_Reg_Geog_Intermediária,Tipo_Conc_Urbana,Hierarquia_Urbana,Hier_Urbana_princ_categ,Região_rural,Amazônia_Legal,Semiárido,Cid_Região_São_Paulo,PIB_per_capita,VAB_Indústria/Total,VAB_Serviço/Total,VAB_Adm/Total,VAB_Agricultura/Total,Capag_real,Capag_predito
269,São Domingos do Capim,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,8391,0.03611404596750731,0.1645612262085228,0.471136325355628,0.3281845743947815,,1
270,São Félix do Xingu,Norte,Pará,Não,Polo,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,11187,0.1260385418673418,0.2142071915870846,0.2995449833496932,0.3602069897651833,,1
271,São Francisco do Pará,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,14783,0.04856825669352918,0.2636106629032186,0.2715255897991379,0.4162909960402893,,1
272,São Geraldo do Araguaia,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,19620,0.2058210882494321,0.3147426411679878,0.2496276991809382,0.229806215067344,1,1
273,São João da Ponta,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,7368,0.03582014107483399,0.1495071571353078,0.5492268455759024,0.2654458562139558,,1
274,São João de Pirabas,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,7197,0.04786366910566024,0.2178476197697489,0.5828499576651376,0.1514261161870822,,1
275,São João do Araguaia,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,8776,0.05338473269507752,0.1714733542319749,0.5048462255358807,0.2702872151148013,,1
276,São Miguel do Guamá,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,11593,0.08059879885394668,0.2382044749615985,0.3318232114704935,0.3493719584221068,1,1
277,São Sebastião da Boa Vista,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,7956,0.0261494590780809,0.1693418783317654,0.5167813185951708,0.2877224443399184,,1
278,Sapucaia,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,17024,0.06485861793359687,0.2590564448188711,0.3228241850819779,0.3532499513965394,1,1
279,Senador José Porfírio,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,11451,0.04637234377036986,0.2158419030528907,0.4229338732064938,0.3148442113173979,,1
280,Soure,Norte,Pará,Não,Polo,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,7469,0.03976029153136663,0.2665902187036557,0.5148825439529845,0.1787559196634819,1,1
281,Tailândia,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,8660,0.126262207537278,0.3316170643387508,0.4363818139699338,0.1057376949243468,,1
282,Terra Alta,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,6074,0.04637435530295282,0.2204462107154859,0.6315474190202066,0.1016174042634017,,1
283,Terra Santa,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro de zona,Sim,Não,Não,27414,0.6209448831471619,0.1802655637440815,0.1670891786367302,0.03169837835248277,,1
284,Tomé-Açu,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,10625,0.0859034417056776,0.3325533828875439,0.4156518996406542,0.165888057263597,,1
285,Tracuateua,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,7036,0.03752909647414995,0.1801767923190069,0.5659591483122854,0.2163254425758174,,1
286,Trairão,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,15639,0.05538214308195313,0.3473556757717472,0.2664356146021943,0.3308191610292184,,1
287,Tucumã,Norte,Pará,Não,Polo,do Entorno,,Centro de Zona B,Centro de Zona,Região Rural de Capital Regional,Sim,Não,Não,19936,0.1815482413951738,0.4485980750043315,0.2329412045860542,0.1369094917461778,0,0
288,Tucuruí,Norte,Pará,Não,Polo,do Entorno,,Centro Subregional B,Centro Subregional,Região Rural de Capital Regional,Sim,Não,Não,66715,0.8454335282680665,0.07455494481066245,0.06966996461679764,0.01034142675742174,,0
289,Ulianópolis,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,23080,0.08991803887812037,0.1282690009227206,0.1496580050656742,0.6321541810390205,,0
290,Uruará,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,11986,0.05567208274664003,0.3070066274434194,0.3287040553410027,0.3086152869392819,,1
291,Vigia,Norte,Pará,Não,do Entorno,do Entorno,,Centro de Zona B,Centro de Zona,Região Rural de Metrópole,Sim,Não,Não,7188,0.04677032015479409,0.2891108945945575,0.4789587078536043,0.1851573328210125,,1
292,Viseu,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,7971,0.03650946639361723,0.1637621770279932,0.4796172527317247,0.3201068857811119,1,1
293,Vitória do Xingu,Norte,Pará,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,291967,0.9382732959590278,0.02785597890388945,0.02029119325918267,0.01357906834936794,,0
294,Xinguara,Norte,Pará,Não,Polo,do Entorno,,Centro de Zona B,Centro de Zona,Região Rural de Capital Regional,Sim,Não,Não,27618,0.2588233496799426,0.4289299336460068,0.1960696844238712,0.1161749952895285,1,1
295,Serra do Navio,Norte,Amapá,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,14170,0.08056255363915728,0.1646410675230475,0.7103485507045763,0.04443398577005066,,1
296,Amapá,Norte,Amapá,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,15202,0.02711600038994248,0.2073519155924501,0.5963420395491665,0.1691900444684409,,1
297,Pedra Branca do Amapari,Norte,Amapá,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,19527,0.2928347258153441,0.1594285875849979,0.5289452478900717,0.01878437027298302,1,1
298,Calçoene,Norte,Amapá,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,15028,0.1022837675856413,0.20997413412403,0.6018043025676614,0.08592517822219418,,1
299,Cutias,Norte,Amapá,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,12993,0.01469376909791418,0.09148399096585626,0.671994154377574,0.2218015145476285,,1
300,Ferreira Gomes,Norte,Amapá,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,70268,0.7691656973670297,0.04581640206045409,0.1554007613408057,0.02961336273961842,1,1
301,Itaubal,Norte,Amapá,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,12841,0.01998950987819803,0.1166006177516172,0.7263972259455679,0.136998076811003,1,1
302,Laranjal do Jari,Norte,Amapá,Não,Polo,do Entorno,,Centro Local,Centro Local,Região Rural de Centro de zona,Sim,Não,Não,18252,0.2809138303156081,0.2012929373750507,0.504980923036357,0.01281117272465867,,1
303,Macapá,Norte,Amapá,Sim,Polo,Polo,Média concentração urbana,Núcleo de Capital Regional C,Capital Regional,Região Rural de Capital Regional,Sim,Não,Não,22181,0.07814101384649438,0.4971036732572265,0.4189691171076512,0.005785997090261117,0,0
304,Mazagão,Norte,Amapá,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,12172,0.04583682279809859,0.1345262388091391,0.7244718621356704,0.09516114446580717,1,1
305,Oiapoque,Norte,Amapá,Não,Polo,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,16003,0.0630040548272345,0.3054653100823403,0.5935371526654892,0.03798850717679544,1,1
306,Porto Grande,Norte,Amapá,Não,Polo,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,15834,0.1172134383118572,0.2117308298423792,0.5950115821136669,0.07604108972848587,1,1
307,Pracuúba,Norte,Amapá,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,13476,0.01461988304093567,0.07821262558104664,0.6811216074373969,0.2260308891887839,,1
308,Santana,Norte,Amapá,Sim,do Entorno,do Entorno,Média concentração urbana,Integrante de Capital Regional C,Capital Regional,Região Rural de Capital Regional,Sim,Não,Não,17307,0.0904593719577079,0.3788028008125814,0.5222137492564716,0.008523563420663197,,1
309,Tartarugalzinho,Norte,Amapá,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,13365,0.05296261915004415,0.1112459528607331,0.6746711345574751,0.1611157651640365,1,1
310,Vitória do Jari,Norte,Amapá,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,12137,0.06003491722024334,0.1306260776502765,0.7744001643163305,0.03492803052824457,1,1
311,Abreulândia,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,20437,0.0243763616023238,0.1473965182233911,0.3612882965986929,0.4668799434751035,1,1
312,Aguiarnópolis,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,19005,0.09358415071271778,0.445219372586068,0.3822834755064047,0.0788944770161253,1,1
313,Aliança do Tocantins,Norte,Tocantins,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,19053,0.0410243711178522,0.3546503229534245,0.3559297550506614,0.2483852328772777,0,0
314,Almas,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,21314,0.02835493709492947,0.1337890093132182,0.2937408093241109,0.5441016284516094,1,1
315,Alvorada,Norte,Tocantins,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,32238,0.167576819281396,0.3575565261967201,0.2138569146885499,0.2610055032812096,0,0
316,Ananás,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,13641,0.02978726844926704,0.2518172336004269,0.4766609798103124,0.2417264325622387,1,1
317,Angico,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,10551,0.03128925431083705,0.1625556697499144,0.6504510677172548,0.1556754596322942,,1
318,Aparecida do Rio Negro,Norte,Tocantins,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,21573,0.03165113061393498,0.1592554813819849,0.3281557712312027,0.4809275174969955,0,0
319,Aragominas,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,11121,0.01979521098991955,0.1164181002957357,0.5774477692625688,0.2863230196839126,0,1
320,Araguacema,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,18023,0.02637758232767437,0.1649417058703211,0.3675925547146656,0.4410799754551033,,1
321,Araguaçu,Norte,Tocantins,Sim,do Entorno,do Entorno,,Centro de Zona B,Centro de Zona,Região Rural de Capital Regional,Sim,Não,Não,22458,0.03181242147515215,0.2500339934406257,0.2966893108305821,0.4214588353031399,1,1
322,Araguaína,Norte,Tocantins,Não,Polo,Polo,Média concentração urbana,Capital Regional C,Capital Regional,Região Rural de Capital Regional,Sim,Não,Não,24715,0.1385396569989997,0.5725733459842998,0.2749872234326489,0.01389925917771633,0,0
323,Araguanã,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,11657,0.04090567925944458,0.168595196397298,0.5609363272454341,0.229531523642732,1,1
324,Araguatins,Norte,Tocantins,Não,Polo,do Entorno,,Centro de Zona B,Centro de Zona,Região Rural de Capital Regional,Sim,Não,Não,12060,0.04322570516510545,0.3431018542746001,0.5269892770546912,0.08668067153597532,,1
325,Arapoema,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,43272,0.6113630508510466,0.1509156294003677,0.1406776610424306,0.09703660047219585,1,1
326,Arraias,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,17500,0.07956537641731935,0.2741811394049466,0.420567053867595,0.225673817902052,1,1
327,Augustinópolis,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,13961,0.06443637782319964,0.4347409398933058,0.4522759462966575,0.04854249535650979,,1
328,Aurora do Tocantins,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,11275,0.04287221772313431,0.1561265307124101,0.5651427028884144,0.2358340081965202,1,1
329,Axixá do Tocantins,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,12398,0.03075841233461819,0.2338351217140675,0.582552001944647,0.1528457825467931,1,1
330,Babaçulândia,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,9887,0.03679337231968811,0.1276120857699805,0.6059649122807017,0.2296198830409357,,1
331,Bandeirantes do Tocantins,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,34257,0.4298990275156367,0.130180870242317,0.2169850445616203,0.2229265939348799,0,0
332,Barra do Ouro,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,12339,0.02891140823570522,0.1601898000846008,0.5324333768598385,0.2784286318577235,,1
333,Barrolândia,Norte,Tocantins,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,16696,0.1025440762648596,0.3090449664044105,0.4136449778900821,0.1747430080973985,1,1
334,Bernardo Sayão,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,16725,0.04448419109162243,0.1806917839833833,0.4269270713131779,0.3478681052388645,0,0
335,Bom Jesus do Tocantins,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,15487,0.09104863579162806,0.1234494489234301,0.4080179220886977,0.3774563356519575,1,1
336,Brasilândia do Tocantins,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,18738,0.02875560389420909,0.3254635647398997,0.4634055760405337,0.182348728015492,0,0
337,Brejinho de Nazaré,Norte,Tocantins,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,35362,0.01945920765663709,0.09467042158087535,0.1880227412285345,0.6978317487877697,1,1
338,Buriti do Tocantins,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,8731,0.0443015592348497,0.2060226115844184,0.6795263355301935,0.07013877725981889,1,1
339,Cachoeirinha,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,12009,0.02517423925048558,0.1783905244315802,0.6598621320028945,0.1365350192329665,,1
340,Campos Lindos,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Sim,Não,Não,30905,0.04202055398272304,0.2585978630218433,0.2123116489852638,0.4870630204606498,1,1
341,Cariri do Tocantins,Norte,Tocantins,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,80738,0.1484187044968255,0.6037743777949761,0.1114383468099189,0.1363650689704682,,0
342,Carmolândia,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,14442,0.03104834144684705,0.2021114004302049,0.5695403600135854,0.1972149892448772,1,1
343,Carrasco Bonito,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,9813,0.0455012325390304,0.1430772391125719,0.6915571076417419,0.1198130649137223,,1
344,Caseara,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,29970,0.05460528934831937,0.2114677742539046,0.2300455154659695,0.5038747860242306,1,1
345,Centenário,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,11934,0.02107798855766336,0.1555555555555556,0.5766937669376694,0.2466124661246613,1,1
346,Chapada de Areia,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,17069,0.04993773884666581,0.1141740735969771,0.484091201854953,0.3517111082485294,,1
347,Chapada da Natividade,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,19250,0.04837535784178945,0.1519513496902748,0.3655080949069207,0.4341328502806127,1,1
348,Colinas do Tocantins,Norte,Tocantins,Não,Polo,do Entorno,,Centro de Zona A,Centro de Zona,Região Rural de Capital Regional,Sim,Não,Não,20752,0.08539749685520967,0.5323785755066864,0.3407513766677446,0.04146945646573533,1,1
349,Combinado,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,13927,0.0448615612855369,0.3921919597503749,0.4751423088707207,0.08777191879122119,1,1
350,Conceição do Tocantins,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,12617,0.03268500165180046,0.2713495209778659,0.566815328708292,0.1291295011562603,1,1
351,Couto Magalhães,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,21018,0.09466820657857643,0.2313141693114957,0.3304384201958841,0.3435701099460728,0,0
352,Cristalândia,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,15058,0.05028676080774977,0.2538531977444696,0.4150561472842065,0.2807846161260784,,1
353,Crixás do Tocantins,Norte,Tocantins,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,25491,0.02631897239894531,0.187498488110501,0.3554996492416362,0.4306587000169332,,1
354,Darcinópolis,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,30928,0.02481948424068768,0.2206189111747851,0.2130257879656161,0.5415243553008596,0,0
355,Dianópolis,Norte,Tocantins,Não,Polo,do Entorno,,Centro de Zona A,Centro de Zona,Região Rural de Capital Regional,Sim,Não,Não,15912,0.05946715337560891,0.4476995527427212,0.4111963820748253,0.08163068259683307,0,0
356,Divinópolis do Tocantins,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,17949,0.03530874502234511,0.2533169874971742,0.3844140713304467,0.3269515015563323,1,1
357,Dois Irmãos do Tocantins,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,14213,0.02382645081351181,0.1665820316467267,0.4305315756332392,0.3790396295017367,1,1
358,Dueré,Norte,Tocantins,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,24603,0.0301049247828364,0.1549401332779513,0.2839470500063208,0.5309988622613909,0,0
359,Esperantina,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,8211,0.01896292874465874,0.155745467144012,0.7234438156831042,0.1018362397505486,,1
360,Fátima,Norte,Tocantins,Sim,do Entorno,do Entorno,,Centro de Zona B,Centro de Zona,Região Rural de Capital Regional,Sim,Não,Não,17527,0.03443684660398448,0.4192583338812545,0.4266552699059767,0.1196166743375633,,1
361,Figueirópolis,Norte,Tocantins,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,32230,0.03209906612740919,0.3897716274508547,0.2178480550196453,0.3602684322862252,0,0
362,Filadélfia,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,11513,0.04829435786992828,0.2256852028688108,0.5330664987098478,0.1929336231942949,1,1
363,Formoso do Araguaia,Norte,Tocantins,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,18913,0.08320500184797339,0.3056209190587655,0.3495657262535419,0.2616021929284219,1,1
364,Fortaleza do Tabocão,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,72737,0.03849690982873827,0.7079546989253536,0.1312663592573299,0.1222756008309056,,1
365,Goianorte,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,14731,0.02797173500167579,0.2039855882024355,0.4472126019439169,0.3208161099318512,,1
366,Goiatins,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,12487,0.03695860789456849,0.1628750559785042,0.5058473546158275,0.2943125839677564,1,1
367,Guaraí,Norte,Tocantins,Não,Polo,do Entorno,,Centro de Zona A,Centro de Zona,Região Rural de Capital Regional,Sim,Não,Não,25371,0.05931685623759786,0.60394045941048,0.2605597806725423,0.07618118265413072,0,0
368,Gurupi,Norte,Tocantins,Sim,Polo,Polo,,Centro Subregional B,Centro Subregional,Região Rural de Capital Regional,Sim,Não,Não,25690,0.07921700281486455,0.6011047697750691,0.2993771143764687,0.0203000800557808,0,0
369,Ipueiras,Norte,Tocantins,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,15353,0.04214060572838153,0.129984925311772,0.5173016308071811,0.310504316842538,,1
370,Itacajá,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,13414,0.03058188171758352,0.2109175623444697,0.4906655371419495,0.2678244295017737,1,1
371,Itaguatins,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,10889,0.05984108458968169,0.1480119586244384,0.5998177428895746,0.1923132264304785,1,1
372,Itapiratins,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,18898,0.02486952972389866,0.1627015364879442,0.3599521851949036,0.4524475932242922,0,1
373,Itaporã do Tocantins,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,17710,0.02492585966030244,0.1381338692679101,0.412195779515208,0.4247199823533737,1,1
374,Jaú do Tocantins,Norte,Tocantins,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,15700,0.02935684647302905,0.1563450899031812,0.458350622406639,0.3559128630705394,1,1
375,Juarina,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,13865,0.0247081645849641,0.1639383316883913,0.552428274852806,0.258857162304734,1,1
376,Lagoa da Confusão,Norte,Tocantins,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,37107,0.0785600449985938,0.2910801894583651,0.1864673871798649,0.4438923783631761,1,1
377,Lagoa do Tocantins,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,9386,0.02164647534419962,0.1530493632629866,0.6802366130240488,0.1450417172526025,0,0
378,Lajeado,Norte,Tocantins,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,21817,0.1522719443835531,0.3328218457395171,0.4916074280524849,0.02326746625747659,1,1
379,Lavandeira,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,12539,0.03722599334169225,0.1293614077564962,0.5944052920575901,0.2389208353149725,1,1
380,Lizarda,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,11329,0.02072551332354428,0.1250752232626435,0.5780035144308308,0.2761476060948896,1,0
381,Luzinópolis,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,11008,0.04729054813334998,0.2292108877512798,0.6485204145336496,0.07494693469846422,1,1
382,Marianópolis do Tocantins,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,24806,0.04710899451584266,0.1917380879290461,0.2808369769930888,0.4802993470451095,,0
383,Mateiros,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,51358,0.03138874859602439,0.1194114232732042,0.1481995190676848,0.7009927709390241,1,1
384,Maurilândia do Tocantins,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,10764,0.02116669473920611,0.1540620964572455,0.6622312054348436,0.1625119308292628,,0
385,Miracema do Tocantins,Norte,Tocantins,Sim,Polo,do Entorno,,Centro de Zona B,Centro de Zona,Região Rural de Capital Regional,Sim,Não,Não,28347,0.3750727453053663,0.2152174982172277,0.2435533315300694,0.166154375783805,1,1
386,Miranorte,Norte,Tocantins,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,19648,0.05535433466055475,0.4013868906213404,0.3376091611737545,0.2056454311239,1,1
387,Monte do Carmo,Norte,Tocantins,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,22764,0.2063652961198878,0.1192600314463598,0.2640918279780451,0.4102713256426058,0,0
388,Monte Santo do Tocantins,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,15851,0.02383211154233146,0.1324133965789852,0.4761822624694552,0.3675434813856547,0,0
389,Palmeiras do Tocantins,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,10464,0.07453303785446158,0.1417544811782974,0.5845657515866914,0.1991316539279092,1,1
