,Município,UF,Capag_real,Capag_predito
330,Babaçulândia,Tocantins,,1
331,Bandeirantes do Tocantins,Tocantins,0,0
332,Barra do Ouro,Tocantins,,1
333,Barrolândia,Tocantins,1,1
334,Bernardo Sayão,Tocantins,0,0
335,Bom Jesus do Tocantins,Tocantins,1,1
336,Brasilândia do Tocantins,Tocantins,0,0
337,Brejinho de Nazaré,Tocantins,1,1
338,Buriti do Tocantins,Tocantins,1,1
339,Cachoeirinha,Tocantins,,1
340,Campos Lindos,Tocantins,1,1
341,Cariri do Tocantins,Tocantins,,0
342,Carmolândia,Tocantins,1,1
343,Carrasco Bonito,Tocantins,,1
344,Caseara,Tocantins,1,1
345,Centenário,Tocantins,1,1
346,Chapada de Areia,Tocantins,,1
347,Chapada da Natividade,Tocantins,1,1
348,Colinas do Tocantins,Tocantins,1,1
349,Combinado,Tocantins,1,1
350,Conceição do Tocantins,Tocantins,1,1
351,Couto Magalhães,Tocantins,0,0
352,Cristalândia,Tocantins,,1
353,Crixás do Tocantins,Tocantins,,1
354,Darcinópolis,Tocantins,0,0
355,Dianópolis,Tocantins,0,0
356,Divinópolis do Tocantins,Tocantins,1,1
357,Dois Irmãos do Tocantins,Tocantins,1,1
358,Dueré,Tocantins,0,0
359,Esperantina,Tocantins,,1
360,Fátima,Tocantins,,1
361,Figueirópolis,Tocantins,0,0
362,Filadélfia,Tocantins,1,1
363,Formoso do Araguaia,Tocantins,1,1
364,Fortaleza do Tabocão,Tocantins,,1
365,Goianorte,Tocantins,,1
366,Goiatins,Tocantins,1,1
367,Guaraí,Tocantins,0,0
368,Gurupi,Tocantins,0,0
369,Ipueiras,Tocantins,,1
370,Itacajá,Tocantins,1,1
371,Itaguatins,Tocantins,1,1
372,Itapiratins,Tocantins,0,1
373,Itaporã do Tocantins,Tocantins,1,1
374,Jaú do Tocantins,Tocantins,1,1
375,Juarina,Tocantins,1,1
376,Lagoa da Confusão,Tocantins,1,1
377,Lagoa do Tocantins,Tocantins,0,0
378,Lajeado,Tocantins,1,1
379,Lavandeira,Tocantins,1,1
380,Lizarda,Tocantins,1,0
381,Luzinópolis,Tocantins,1,1
382,Marianópolis do Tocantins,Tocantins,,0
