;Município;Região;UF;Reg_Metropolitana;Mun_Reg_Geog_Imediata;Mun_Reg_Geog_Intermediária;Tipo_Conc_Urbana;Hierarquia_Urbana;Hier_Urbana_princ_categ;Região_rural;Amazônia_Legal;Semiárido;Cid_Região_São_Paulo;PIB_PERC;VAB_Indústria/Total;VAB_Serviço/Total;VAB_Adm/Total;VAB_Agricultura/Total;CLASS_CAPAG_real;CLASS_CAPAG_predito
4035;Godoy Moreira;Sul;Paraná;Sim;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;17343;0,040142499;0,237511444;0,344704056;0,377622099;;0
4036;Goioerê;Sul;Paraná;Sim;do Entorno;do Entorno;;Centro de Zona B;Centro de Zona;Região Rural de Capital Regional;Não;Não;Não;31176;0,121276669;0,544001651;0,159870317;0,174848892;1;1
4037;Goioxim;Sul;Paraná;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;25259;0,038501439;0,276848145;0,182414414;0,502230141;1;1
4038;Grandes Rios;Sul;Paraná;Sim;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;21100;0,042411657;0,330237047;0,246197858;0,381144822;0;0
4039;Guaíra;Sul;Paraná;Sim;do Entorno;do Entorno;;Centro de Zona B;Centro de Zona;Região Rural de Capital Regional;Não;Não;Não;28449;0,100008857;0,564673086;0,179141406;0,15617432;1;1
4040;Guairaçá;Sul;Paraná;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;34669;0,090648556;0,24242522;0,152624449;0,51429256;;0
4041;Guamiranga;Sul;Paraná;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;27803;0,048263517;0,18631741;0,167750528;0,597664222;1;0
4042;Guapirama;Sul;Paraná;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;26862;0,099097794;0,255018003;0,227517278;0,418346232;1;0
4043;Guaporema;Sul;Paraná;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;24958;0,041228135;0,19229914;0,281370442;0,485065224;1;1
4044;Guaraci;Sul;Paraná;Sim;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;19423;0,076739073;0,292257894;0,295739093;0,335253761;1;0
4045;Guaraniaçu;Sul;Paraná;Sim;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;27779;0,073264547;0,414574946;0,192247486;0,319909976;1;1
4046;Guarapuava;Sul;Paraná;Não;Polo;Polo;Média concentração urbana;Centro Subregional A;Centro Subregional;Região Rural de Capital Regional;Não;Não;Não;33913;0,207921273;0,576391668;0,15038879;0,065297899;1;1
4047;Guaraqueçaba;Sul;Paraná;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Metrópole;Não;Não;Não;14552;0,071373056;0,305231714;0,348933899;0,274442603;0;0
4048;Guaratuba;Sul;Paraná;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Metrópole;Não;Não;Não;21789;0,101663491;0,592773071;0,259461359;0,046099377;0;0
4049;Honório Serpa;Sul;Paraná;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;40410;0,134765992;0,253716571;0,14855626;0,462951026;1;1
4050;Ibaiti;Sul;Paraná;Não;Polo;do Entorno;;Centro de Zona A;Centro de Zona;Região Rural de Capital Regional;Não;Não;Não;21791;0,108724406;0,498205162;0,195578878;0,197489952;0;0
4051;Ibema;Sul;Paraná;Sim;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;26148;0,219118789;0,301850414;0,197612578;0,281411749;0;1
4052;Ibiporã;Sul;Paraná;Sim;do Entorno;do Entorno;Média concentração urbana;Integrante de Capital Regional B;Capital Regional;Região Rural de Capital Regional;Não;Não;Não;45232;0,138651569;0,694164649;0,132530644;0,03465215;1;1
4053;Icaraíma;Sul;Paraná;Sim;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;29010;0,133415725;0,362956443;0,187251741;0,31637153;0;1
4054;Iguaraçu;Sul;Paraná;Sim;do Entorno;do Entorno;Média concentração urbana;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;33960;0,053044341;0,383909421;0,203320834;0,359718108;0;1
4055;Iguatu;Sul;Paraná;Sim;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;27442;0,042837293;0,25488867;0,236604873;0,465635273;0;0
4056;Imbaú;Sul;Paraná;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;17384;0,146322183;0,383833028;0,270847392;0,198992577;1;0
4057;Imbituva;Sul;Paraná;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;27827;0,20502403;0,326502226;0,161634351;0,306837002;1;1
4058;Inácio Martins;Sul;Paraná;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;17186;0,149164305;0,253191038;0,283422221;0,314211278;0;0
4059;Inajá;Sul;Paraná;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;16170;0,046118164;0,250160492;0,355588229;0,348091698;;0
4060;Indianópolis;Sul;Paraná;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;115710;0,595031225;0,293218167;0,055764622;0,055981729;1;1
4061;Ipiranga;Sul;Paraná;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;33390;0,0563141;0,25328405;0,145080499;0,545315089;1;1
4062;Iporã;Sul;Paraná;Sim;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;26062;0,083607352;0,435125071;0,175027499;0,306237176;1;1
4063;Iracema do Oeste;Sul;Paraná;Sim;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;35498;0,039138361;0,318511527;0,19914405;0,443193132;0;1
4064;Irati;Sul;Paraná;Não;Polo;do Entorno;;Centro de Zona A;Centro de Zona;Região Rural de Capital Regional;Não;Não;Não;30279;0,158819576;0,504334879;0,155002589;0,181841722;0;0
4065;Iretama;Sul;Paraná;Sim;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;25114;0,037672347;0,430698396;0,206044758;0,325580328;1;1
4066;Itaguajé;Sul;Paraná;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;21820;0,040890875;0,31530883;0,260032017;0,383757534;1;0
4067;Itaipulândia;Sul;Paraná;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;32812;0,222620414;0,360595265;0,207516507;0,209264811;;1
4068;Itambaracá;Sul;Paraná;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;24352;0,08155961;0,303046194;0,20658665;0,408800991;0;0
4069;Itambé;Sul;Paraná;Sim;do Entorno;do Entorno;Média concentração urbana;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;31056;0,050263047;0,414539316;0,167736672;0,367449712;;0
4070;Itapejara d'Oeste;Sul;Paraná;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;52016;0,321715619;0,401216063;0,098578314;0,1784882;1;1
4071;Itaperuçu;Sul;Paraná;Sim;do Entorno;do Entorno;Grande concentração urbana;Integrante de Metrópole;Metrópole;Região Rural de Metrópole;Não;Não;Não;18017;0,256868438;0,459944819;0,234689781;0,048494838;1;0
4072;Itaúna do Sul;Sul;Paraná;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;25677;0,10432917;0,452524047;0,241777134;0,201341233;0;0
4073;Ivaí;Sul;Paraná;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;27240;0,086256002;0,265232491;0,164021209;0,48448467;1;1
4074;Ivaiporã;Sul;Paraná;Sim;Polo;do Entorno;;Centro Subregional B;Centro Subregional;Região Rural de Capital Regional;Não;Não;Não;25614;0,060561665;0,640372405;0,186040266;0,113023005;1;0
4075;Ivaté;Sul;Paraná;Sim;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;24077;0,291545237;0,327662988;0,211407272;0,169379045;0;0
4076;Ivatuba;Sul;Paraná;Sim;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;34521;0,03807914;0,47380516;0,182722896;0,305373812;1;1
4077;Jaboti;Sul;Paraná;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;20628;0,074510706;0,265263481;0,248806717;0,411399927;0;0
4078;Jacarezinho;Sul;Paraná;Não;do Entorno;do Entorno;;Centro de Zona A;Centro de Zona;Região Rural de Capital Regional;Não;Não;Não;34442;0,258478639;0,490472677;0,147108674;0,103938375;0;0
4079;Jaguapitã;Sul;Paraná;Sim;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;57909;0,405478728;0,376477794;0,096413502;0,121628554;0;1
4080;Jaguariaíva;Sul;Paraná;Não;do Entorno;do Entorno;;Centro de Zona B;Centro de Zona;Região Rural de Metrópole;Não;Não;Não;42684;0,476205701;0,313007179;0,134187286;0,076599015;1;1
4081;Jandaia do Sul;Sul;Paraná;Sim;do Entorno;do Entorno;;Centro de Zona A;Centro de Zona;Região Rural de Capital Regional;Não;Não;Não;32094;0,200527777;0,581793408;0,159180048;0,058495317;0;0
4082;Janiópolis;Sul;Paraná;Sim;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;29462;0,040334648;0,30075083;0,1900816;0,468819621;1;1
4083;Japira;Sul;Paraná;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;20254;0,040386125;0,19002477;0,258381497;0,511187222;0;0
4084;Japurá;Sul;Paraná;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;26887;0,146532478;0,441007213;0,19511425;0,217341611;1;1
4085;Jardim Alegre;Sul;Paraná;Sim;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;22020;0,057650857;0,464637487;0,212746134;0,264956935;1;1
4086;Jardim Olinda;Sul;Paraná;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;31376;0,061490837;0,204804359;0,28687469;0,446780584;;0
4087;Jataizinho;Sul;Paraná;Sim;do Entorno;do Entorno;Média concentração urbana;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;15234;0,091585643;0,427778867;0,298758721;0,181871165;;0
4088;Jesuítas;Sul;Paraná;Sim;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;40574;0,214711042;0,352204204;0,131617171;0,301464439;0;1
4089;Joaquim Távora;Sul;Paraná;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;49769;0,393249291;0,423944624;0,105233866;0,077570333;1;1
4090;Jundiaí do Sul;Sul;Paraná;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;22476;0,04161367;0,194381463;0,254313444;0,509677598;1;0
4091;Juranda;Sul;Paraná;Sim;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;45869;0,043383337;0,512897092;0,111958356;0,331754737;1;1
4092;Jussara;Sul;Paraná;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;32148;0,06124484;0,491164272;0,167467058;0,280118868;0;1
4093;Kaloré;Sul;Paraná;Sim;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;27259;0,065724382;0,36618139;0,212353357;0,355731449;0;0
4094;Lapa;Sul;Paraná;Sim;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;34292;0,22201615;0,415824751;0,149127445;0,213030298;1;1
4095;Laranjal;Sul;Paraná;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;13927;0,026815558;0,212574699;0,3558189;0,404778183;0;0
4096;Laranjeiras do Sul;Sul;Paraná;Não;Polo;do Entorno;;Centro de Zona A;Centro de Zona;Região Rural de Capital Regional;Não;Não;Não;24175;0,123752274;0,539660073;0,19746902;0,139117212;0;1
4097;Leópolis;Sul;Paraná;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;37742;0,04137445;0,212579546;0,160820027;0,585212158;1;1
4098;Lidianópolis;Sul;Paraná;Sim;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;24880;0,048646225;0,307133783;0,242010611;0,402184472;0;0
4099;Lindoeste;Sul;Paraná;Sim;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;34310;0,075109444;0,421593882;0,182618387;0,320678287;0;1
4100;Loanda;Sul;Paraná;Não;Polo;do Entorno;;Centro de Zona A;Centro de Zona;Região Rural de Capital Regional;Não;Não;Não;25048;0,216942905;0,498112378;0,193671393;0,091269533;1;0
4101;Lobato;Sul;Paraná;Sim;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;38826;0,267858085;0,346821352;0,158759392;0,226555306;1;1
4102;Londrina;Sul;Paraná;Sim;Polo;Polo;Média concentração urbana;Núcleo de Capital Regional B;Capital Regional;Região Rural de Capital Regional;Não;Não;Não;35383;0,161262192;0,670498316;0,150457824;0,017781612;0;0
4103;Luiziana;Sul;Paraná;Sim;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;45022;0,04101749;0,335357718;0,13913635;0,484481902;0;1
4104;Lunardelli;Sul;Paraná;Sim;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;18306;0,049463952;0,349305696;0,284849062;0,316369391;0;0
4105;Lupionópolis;Sul;Paraná;Sim;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;20927;0,047353584;0,46290372;0,272940357;0,216791781;0;0
4106;Mallet;Sul;Paraná;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;52248;0,446583923;0,228956281;0,09579187;0,228666393;;0
4107;Mamborê;Sul;Paraná;Sim;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;41062;0,039601295;0,464084579;0,139550864;0,356761253;0;1
4108;Mandaguaçu;Sul;Paraná;Sim;do Entorno;do Entorno;Média concentração urbana;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;24761;0,11231489;0,510615139;0,200743763;0,1763223;0;1
4109;Mandaguari;Sul;Paraná;Sim;do Entorno;do Entorno;;Integrante de Capital Regional B;Capital Regional;Região Rural de Capital Regional;Não;Não;Não;45662;0,395770384;0,373256332;0,111426908;0,119544935;1;1
4110;Mandirituba;Sul;Paraná;Sim;do Entorno;do Entorno;Grande concentração urbana;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;23214;0,191415004;0,409840643;0,213074023;0,185666773;0;1
4111;Manfrinópolis;Sul;Paraná;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;19930;0,027632858;0,162980302;0,326853266;0,4824939;0;0
4112;Mangueirinha;Sul;Paraná;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;80180;0,604528459;0,191739411;0,066952864;0,136777724;0;1
4113;Manoel Ribas;Sul;Paraná;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;28109;0,043825396;0,453295344;0,176425827;0,326447711;1;1
4114;Marechal Cândido Rondon;Sul;Paraná;Sim;Polo;do Entorno;;Centro de Zona A;Centro de Zona;Região Rural de Capital Regional;Não;Não;Não;44732;0,258964084;0,504543095;0,129216001;0,10727634;1;1
4115;Maria Helena;Sul;Paraná;Sim;do Entorno;do Entorno;Média concentração urbana;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;18982;0,097965423;0,240588992;0,267484496;0,393941739;0;0
