;Município;Região;UF;Reg_Metropolitana;Mun_Reg_Geog_Imediata;Mun_Reg_Geog_Intermediária;Tipo_Conc_Urbana;Hierarquia_Urbana;Hier_Urbana_princ_categ;Região_rural;Amazônia_Legal;Semiárido;Cid_Região_São_Paulo;PIB_PERC;VAB_Indústria/Total;VAB_Serviço/Total;VAB_Adm/Total;VAB_Agricultura/Total;CLASS_CAPAG_real;CLASS_CAPAG_predito
0;Alta Floresta D'Oeste;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;21552;0,055979908;0,262209051;0,329631627;0,352179414;;0
1;Ariquemes;Norte;Rondônia;Não;Polo;do Entorno;;Centro Subregional B;Centro Subregional;Região Rural de Capital Regional;Sim;Não;Não;23206;0,153590394;0,467636169;0,305013493;0,073759491;1;1
2;Cabixi;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;25837;0,03839822;0,186651835;0,312665925;0,462269188;0;1
3;Cacoal;Norte;Rondônia;Não;Polo;do Entorno;;Centro Subregional B;Centro Subregional;Região Rural de Centro Sub-regional;Sim;Não;Não;25708;0,113825562;0,496921885;0,280574657;0,108677385;0;1
4;Cerejeiras;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro de Zona B;Centro de Zona;Região Rural de Capital Regional;Sim;Não;Não;28714;0,056576125;0,517530962;0,272233862;0,153659051;0;1
5;Colorado do Oeste;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;20362;0,084758706;0,334757088;0,342717171;0,237763799;0;0
6;Corumbiara;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;42371;0,032137136;0,098619425;0,184126125;0,685114092;1;1
7;Costa Marques;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;12890;0,032439017;0,192714818;0,489309103;0,285532567;1;0
8;Espigão D'Oeste;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Centro Sub-regional;Sim;Não;Não;18984;0,109651404;0,327697673;0,348115101;0,214534035;1;1
9;Guajará-Mirim;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro de Zona B;Centro de Zona;Região Rural de Capital Regional;Sim;Não;Não;18279;0,040175557;0,50078176;0,39410539;0,064934526;1;0
10;Jaru;Norte;Rondônia;Não;Polo;do Entorno;;Centro de Zona A;Centro de Zona;Região Rural de Capital Regional;Sim;Não;Não;28433;0,17218607;0,447434517;0,247823308;0,132556105;1;1
11;Ji-Paraná;Norte;Rondônia;Não;Polo;Polo;Média concentração urbana;Centro Subregional A;Centro Subregional;Região Rural de Capital Regional;Sim;Não;Não;26287;0,138225126;0,549054764;0,264120096;0,048599329;1;1
12;Machadinho D'Oeste;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Centro de zona;Sim;Não;Não;16423;0,07678298;0,213896964;0,397322152;0,311996266;1;0
13;Nova Brasilândia D'Oeste;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;18086;0,106199091;0,234808083;0,361968047;0,297021921;;0
14;Ouro Preto do Oeste;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro de Zona B;Centro de Zona;Região Rural de Capital Regional;Sim;Não;Não;22252;0,109533534;0,381319962;0,317286412;0,191858756;1;1
15;Pimenta Bueno;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;31046;0,188824926;0,43806715;0,257991158;0,115115716;1;1
16;Porto Velho;Norte;Rondônia;Sim;Polo;Polo;Média concentração urbana;Capital Regional B;Capital Regional;Região Rural de Capital Regional;Sim;Não;Não;32042;0,26558097;0,458741379;0,235335671;0,040341911;1;0
17;Presidente Médici;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;21515;0,096636177;0,306975391;0,3282526;0,268133211;0;0
18;Rio Crespo;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;28611;0,071078788;0,107529697;0,290870303;0,530501818;0;0
19;Rolim de Moura;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro de Zona A;Centro de Zona;Região Rural de Capital Regional;Sim;Não;Não;24077;0,209097168;0,418010583;0,29218328;0,080707306;0;0
20;Santa Luzia D'Oeste;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;21625;0,096242421;0,189824609;0,350273452;0,363645368;0;1
21;Vilhena;Norte;Rondônia;Não;Polo;do Entorno;;Centro Subregional B;Centro Subregional;Região Rural de Centro Sub-regional;Sim;Não;Não;28420;0,186058602;0,486090924;0,268233866;0,059616193;1;1
22;São Miguel do Guaporé;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;31025;0,190003128;0,227540321;0,223392253;0,359062815;0;0
23;Nova Mamoré;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;17095;0,051418139;0,191238676;0,37995449;0,377384606;1;0
24;Alvorada D'Oeste;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;17423;0,047484016;0,233436374;0,399332262;0,31974329;1;0
25;Alto Alegre dos Parecis;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;21053;0,043769295;0,155313535;0,333825431;0,467084265;1;1
26;Alto Paraíso;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;15655;0,075605339;0,240014102;0,403634441;0,280746118;0;0
27;Buritis;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;17489;0,059443513;0,287820384;0,374279807;0,278454721;1;0
28;Novo Horizonte do Oeste;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;18946;0,061189484;0,207790734;0,3633973;0,367609871;0;0
29;Cacaulândia;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;22718;0,024585063;0,142919897;0,310681104;0,521799293;0;0
30;Campo Novo de Rondônia;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;20011;0,082635385;0,096789926;0,345968523;0,474602499;0;0
31;Candeias do Jamari;Norte;Rondônia;Sim;do Entorno;do Entorno;Média concentração urbana;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;21856;0,342792502;0,190516875;0,310801346;0,155887443;1;0
32;Castanheiras;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;36238;0,016196461;0,068086804;0,236598924;0,679108741;0;0
33;Chupinguaia;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;27680;0,177869455;0,182406088;0,273497632;0,36622334;1;1
34;Cujubim;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;14739;0,172508848;0,162998026;0,416183874;0,248309252;1;0
35;Governador Jorge Teixeira;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;22085;0,027500719;0,096589014;0,328794938;0,547109577;1;1
36;Itapuã do Oeste;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;17551;0,150225594;0,20835798;0,387377199;0,254027628;1;0
37;Ministro Andreazza;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;21126;0,062785317;0,232524633;0,32906261;0,375617112;1;0
38;Mirante da Serra;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;19672;0,063300088;0,277499928;0,340049821;0,319145355;1;0
39;Monte Negro;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;18031;0,084384007;0,209356293;0,370212845;0,33604316;1;1
40;Nova União;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;17178;0,029192716;0,115515356;0,394793482;0,460489905;1;1
41;Parecis;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;17923;0,031499565;0,107483322;0,394121628;0,466885816;1;1
42;Pimenteiras do Oeste;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;47731;0,032561441;0,113605221;0,223326334;0,630487288;0;1
43;Primavera de Rondônia;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;20598;0,035819213;0,145548647;0,425167395;0,393447663;0;0
44;São Felipe D'Oeste;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;16961;0,026690288;0,1553479;0,438241799;0,379696854;;0
45;São Francisco do Guaporé;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;17778;0,049114795;0,202859366;0,364378359;0,383644499;1;0
46;Seringueiras;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;19812;0,050577459;0,214148655;0,35563068;0,379638681;0;0
47;Teixeirópolis;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;20370;0,046475699;0,135256946;0,3639067;0,454337422;;0
48;Theobroma;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;18292;0,028048617;0,095527354;0,379399533;0,49701913;1;1
49;Urupá;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;18617;0,04249703;0,204441804;0,369548346;0,383503238;1;0
50;Vale do Anari;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;14505;0,040460673;0,132330429;0,467926649;0,359269331;1;0
51;Vale do Paraíso;Norte;Rondônia;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;21454;0,02420456;0,122574372;0,332347222;0,520866951;1;0
52;Acrelândia;Norte;Acre;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;15737;0,035824996;0,233607343;0,425930304;0,304637357;;0
53;Assis Brasil;Norte;Acre;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;12532;0,031038496;0,181779149;0,567472289;0,219687468;;0
54;Brasiléia;Norte;Acre;Não;Polo;do Entorno;;Centro de Zona B;Centro de Zona;Região Rural de Capital Regional;Sim;Não;Não;16165;0,080315569;0,311182027;0,429280254;0,179219538;0;0
55;Bujari;Norte;Acre;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;15606;0,022337579;0,135798807;0,427954216;0,41390295;;0
56;Capixaba;Norte;Acre;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;14874;0,024418661;0,152124051;0,452437596;0,371007491;;0
57;Cruzeiro do Sul;Norte;Acre;Não;Polo;Polo;;Centro Subregional B;Centro Subregional;Região Rural de Centro Sub-regional;Sim;Não;Não;16261;0,076150268;0,440474136;0,43416849;0,049206322;0;0
58;Epitaciolândia;Norte;Acre;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;25349;0,04508371;0,551719251;0,292905065;0,110286627;0;0
59;Feijó;Norte;Acre;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Centro Sub-regional;Sim;Não;Não;10500;0,033094858;0,20256661;0,599095853;0,16523696;;0
60;Jordão;Norte;Acre;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Centro Sub-regional;Sim;Não;Não;9428;0,019990997;0,119575291;0,744697752;0,115709482;0;0
61;Mâncio Lima;Norte;Acre;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Centro Sub-regional;Sim;Não;Não;10629;0,034274943;0,160932659;0,627933278;0,176848792;0;0
62;Manoel Urbano;Norte;Acre;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Centro Sub-regional;Sim;Não;Não;13389;0,109576916;0,197818409;0,527754596;0,16483322;0;0
63;Marechal Thaumaturgo;Norte;Acre;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Centro Sub-regional;Sim;Não;Não;10462;0,022475231;0,121433812;0,675951291;0,180129109;1;0
64;Plácido de Castro;Norte;Acre;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;12926;0,055961221;0,184686855;0,501925366;0,257418321;;0
65;Porto Walter;Norte;Acre;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Centro Sub-regional;Sim;Não;Não;9569;0,022413572;0,13814695;0,714921662;0,124499534;;0
66;Rio Branco;Norte;Acre;Não;Polo;Polo;Média concentração urbana;Capital Regional C;Capital Regional;Região Rural de Capital Regional;Sim;Não;Não;22287;0,104683311;0,550762734;0,324991067;0,019562626;1;0
67;Rodrigues Alves;Norte;Acre;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Centro Sub-regional;Sim;Não;Não;9973;0,022530101;0,114365825;0,667507834;0,195590742;0;0
68;Santa Rosa do Purus;Norte;Acre;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Centro Sub-regional;Sim;Não;Não;11233;0,021633308;0,132792143;0,662056524;0,183503708;;0
69;Senador Guiomard;Norte;Acre;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;16360;0,066554981;0,251214581;0,420372029;0,261852633;;0
70;Sena Madureira;Norte;Acre;Não;Polo;do Entorno;;Centro de Zona B;Centro de Zona;Região Rural de Capital Regional;Sim;Não;Não;11475;0,04246724;0,228213683;0,536232816;0,193084251;;0
71;Tarauacá;Norte;Acre;Não;Polo;do Entorno;;Centro de Zona B;Centro de Zona;Região Rural de Centro Sub-regional;Sim;Não;Não;11645;0,032153642;0,234808324;0,571327104;0,161706625;1;0
72;Xapuri;Norte;Acre;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;12553;0,017759248;0,198486225;0,502514988;0,281230844;0;0
73;Porto Acre;Norte;Acre;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;12855;0,026769292;0,157312044;0,503499989;0,312409854;1;0
74;Alvarães;Norte;Amazonas;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Centro Sub-regional;Sim;Não;Não;10707;0,040736353;0,163340273;0,476326369;0,319591021;0;0
75;Amaturá;Norte;Amazonas;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Centro Sub-regional;Sim;Não;Não;7332;0,040402435;0,175020171;0,626965111;0,157587834;0;0
76;Anamã;Norte;Amazonas;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Metrópole;Sim;Não;Não;8767;0,041793758;0,163976263;0,485548729;0,308663771;1;0
77;Anori;Norte;Amazonas;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Centro de zona;Sim;Não;Não;10626;0,030291411;0,138345429;0,39571955;0,435634259;0;0
78;Apuí;Norte;Amazonas;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;9730;0,059131813;0,21908378;0,423854968;0,297924577;1;0
79;Atalaia do Norte;Norte;Amazonas;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Centro Sub-regional;Sim;Não;Não;7330;0,027375017;0,149564732;0,669310939;0,153735005;;0
80;Autazes;Norte;Amazonas;Sim;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Metrópole;Sim;Não;Não;9196;0,050929655;0,20566252;0,502332103;0,241069928;;0
81;Barcelos;Norte;Amazonas;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Metrópole;Sim;Não;Não;6145;0,048618341;0,203988823;0,678008511;0,06937215;;0
82;Barreirinha;Norte;Amazonas;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;8192;0,038428301;0,182203423;0,600217234;0,179147077;1;0
83;Benjamin Constant;Norte;Amazonas;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Centro Sub-regional;Sim;Não;Não;7346;0,057161812;0,214939806;0,61585989;0,112035141;0;0
84;Beruri;Norte;Amazonas;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Centro de zona;Sim;Não;Não;7868;0,044165633;0,193793485;0,638645434;0,123395448;0;0
85;Boa Vista do Ramos;Norte;Amazonas;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Metrópole;Sim;Não;Não;7438;0,041402183;0,197537101;0,642235352;0,1188034;0;0
86;Boca do Acre;Norte;Amazonas;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;12248;0,13863604;0,261924233;0,371479875;0,227954772;0;0
87;Borba;Norte;Amazonas;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Metrópole;Sim;Não;Não;7487;0,041056695;0,216477049;0,61840585;0,124050211;0;0
88;Caapiranga;Norte;Amazonas;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Metrópole;Sim;Não;Não;12138;0,037023799;0,14889455;0,40646243;0,407606223;;0
89;Canutama;Norte;Amazonas;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Centro de zona;Sim;Não;Não;6965;0,037105929;0,192701542;0,635009972;0,135172969;0;0
90;Carauari;Norte;Amazonas;Não;do Entorno;do Entorno;;Centro de Zona B;Centro de Zona;Região Rural de Centro Sub-regional;Sim;Não;Não;10911;0,066502991;0,250873071;0,398946534;0,283674004;0;0
91;Careiro;Norte;Amazonas;Sim;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Metrópole;Sim;Não;Não;8414;0,08377863;0,205510778;0,509637913;0,201069374;0;0
92;Careiro da Várzea;Norte;Amazonas;Sim;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Metrópole;Sim;Não;Não;11396;0,028025672;0,087284576;0,34868565;0,535998105;0;0
93;Coari;Norte;Amazonas;Não;Polo;do Entorno;;Centro Local;Centro Local;Região Rural de Metrópole;Sim;Não;Não;23921;0,492978436;0,227493317;0,20706948;0,072458767;1;0
94;Codajás;Norte;Amazonas;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Metrópole;Sim;Não;Não;17818;0,029358469;0,083930112;0,230094198;0,656613181;0;0
95;Eirunepé;Norte;Amazonas;Não;Polo;do Entorno;;Centro de Zona B;Centro de Zona;Região Rural de Centro de zona;Sim;Não;Não;14854;0,03315808;0,135209077;0,304063303;0,527565612;0;0
96;Envira;Norte;Amazonas;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Centro de zona;Sim;Não;Não;8007;0,038775313;0,173838576;0,538585364;0,248794308;0;0
97;Fonte Boa;Norte;Amazonas;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Metrópole;Sim;Não;Não;9929;0,051084257;0,231528054;0,573884916;0,143491302;0;0
98;Guajará;Norte;Amazonas;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Centro Sub-regional;Sim;Não;Não;7528;0,038732923;0,194056615;0,6069409;0,160261222;1;0
99;Humaitá;Norte;Amazonas;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Centro de zona;Sim;Não;Não;11521;0,069478233;0,330034874;0,360604406;0,239880776;1;0
100;Ipixuna;Norte;Amazonas;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Centro Sub-regional;Sim;Não;Não;5263;0,030537459;0,150764938;0,737531372;0,081159556;0;0
101;Iranduba;Norte;Amazonas;Sim;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Metrópole;Sim;Não;Não;14276;0,13371887;0,245123533;0,345981902;0,275174154;1;0
102;Itacoatiara;Norte;Amazonas;Sim;Polo;do Entorno;;Centro de Zona A;Centro de Zona;Região Rural de Metrópole;Sim;Não;Não;18818;0,067510087;0,42433244;0,246778238;0,261378672;0;0
103;Itamarati;Norte;Amazonas;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Centro de zona;Sim;Não;Não;12064;0,043827722;0,191819403;0,475789679;0,288541531;0;0
104;Itapiranga;Norte;Amazonas;Sim;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Metrópole;Sim;Não;Não;12126;0,042144657;0,20587129;0,427417535;0,324557114;0;0
105;Japurá;Norte;Amazonas;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Metrópole;Sim;Não;Não;19244;0,042761874;0,187296682;0,506245934;0,26366298;0;0
106;Juruá;Norte;Amazonas;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Centro Sub-regional;Sim;Não;Não;7255;0,044570167;0,162697865;0,597981431;0,194730825;0;0
107;Jutaí;Norte;Amazonas;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Centro Sub-regional;Sim;Não;Não;15198;0,044175478;0,197798534;0,396766311;0,361250542;;0
108;Lábrea;Norte;Amazonas;Não;Polo;Polo;;Centro de Zona B;Centro de Zona;Região Rural de Centro de zona;Sim;Não;Não;10941;0,037314886;0,190299218;0,365875158;0,40650655;;0
109;Manacapuru;Norte;Amazonas;Sim;Polo;do Entorno;;Centro Local;Centro Local;Região Rural de Metrópole;Sim;Não;Não;14839;0,082303724;0,219565258;0,281071517;0,417058056;;0
110;Manaquiri;Norte;Amazonas;Sim;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Metrópole;Sim;Não;Não;8834;0,03527367;0,132122139;0,455233858;0,377362905;0;0
111;Manaus;Norte;Amazonas;Sim;Polo;Polo;Grande concentração urbana;Núcleo de Metrópole;Metrópole;Região Rural de Metrópole;Sim;Não;Não;36445;0,417940546;0,437542421;0,141211608;0,003305394;1;0
112;Manicoré;Norte;Amazonas;Não;Polo;do Entorno;;Centro Local;Centro Local;Região Rural de Centro de zona;Sim;Não;Não;9633;0,070813099;0,218215076;0,430117182;0,280852682;1;0
113;Maraã;Norte;Amazonas;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Metrópole;Sim;Não;Não;7062;0,032012364;0,134144408;0,699239122;0,134588254;;0
114;Maués;Norte;Amazonas;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;7988;0,054295603;0,258250442;0,572060055;0,115389701;0;0
115;Nhamundá;Norte;Amazonas;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Metrópole;Sim;Não;Não;7250;0,045866369;0,225527825;0,590359064;0,138233109;0;0
116;Nova Olinda do Norte;Norte;Amazonas;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;6718;0,045210385;0,193082271;0,646637773;0,115065387;0;0
117;Novo Airão;Norte;Amazonas;Sim;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Metrópole;Sim;Não;Não;7168;0,054095157;0,253853348;0,609357534;0,082678752;;0
118;Novo Aripuanã;Norte;Amazonas;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Centro de zona;Sim;Não;Não;7900;0,06981672;0,174361354;0,519516408;0,236295208;0;0
119;Parintins;Norte;Amazonas;Não;Polo;Polo;Média concentração urbana;Centro Subregional B;Centro Subregional;Região Rural de Metrópole;Sim;Não;Não;9890;0,058318702;0,268506596;0,426340528;0,246833242;0;0
120;Pauini;Norte;Amazonas;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Sim;Não;Não;8119;0,03426613;0,17315809;0,56775511;0,224807664;1;0
121;Presidente Figueiredo;Norte;Amazonas;Sim;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Metrópole;Sim;Não;Não;23264;0,406362081;0,190023476;0,275584014;0,128029174;1;0
122;Rio Preto da Eva;Norte;Amazonas;Sim;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Metrópole;Sim;Não;Não;11769;0,102458211;0,19085781;0,344806987;0,361874264;1;0
123;Santa Isabel do Rio Negro;Norte;Amazonas;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Metrópole;Sim;Não;Não;5628;0,028402639;0,145249033;0,711431561;0,114901923;0;0
124;Santo Antônio do Içá;Norte;Amazonas;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Centro Sub-regional;Sim;Não;Não;8252;0,034047654;0,16922133;0,589530616;0,207189037;;0
125;São Gabriel da Cachoeira;Norte;Amazonas;Não;Polo;do Entorno;;Centro Local;Centro Local;Região Rural de Metrópole;Sim;Não;Não;7344;0,047341334;0,298754496;0,617586303;0,036311463;0;0
126;São Paulo de Olivença;Norte;Amazonas;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Centro Sub-regional;Sim;Não;Não;6519;0,039402743;0,16614322;0,687439309;0,107010665;0;0
127;São Sebastião do Uatumã;Norte;Amazonas;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Metrópole;Sim;Não;Não;8561;0,045645446;0,189876636;0,504248025;0,260221125;1;0
128;Silves;Norte;Amazonas;Sim;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Metrópole;Sim;Não;Não;11130;0,037150235;0,158677803;0,442221953;0,361929835;1;0
129;Tabatinga;Norte;Amazonas;Não;Polo;do Entorno;;Centro de Zona A;Centro de Zona;Região Rural de Centro Sub-regional;Sim;Não;Não;8274;0,054784466;0,343765605;0,544355203;0,057090716;1;0
130;Tapauá;Norte;Amazonas;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Centro de zona;Sim;Não;Não;14307;0,031891454;0,133205282;0,3648207;0,470082565;0;0
131;Tefé;Norte;Amazonas;Não;Polo;Polo;;Centro Subregional B;Centro Subregional;Região Rural de Centro Sub-regional;Sim;Não;Não;15530;0,239216591;0,27227686;0,309876446;0,178627853;1;0
132;Tonantins;Norte;Amazonas;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Centro Sub-regional;Sim;Não;Não;7191;0,037522994;0,168822941;0,65669819;0,136948242;;0
133;Uarini;Norte;Amazonas;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Centro Sub-regional;Sim;Não;Não;14026;0,03779952;0,178063131;0,347404981;0,43672689;0;0
